@relation meta_all

@attribute openml_task_id numeric
@attribute meta_REPTreeDepth2ErrRate numeric
@attribute meta_J48.00001.ErrRate numeric
@attribute meta_NBErrRate numeric
@attribute meta_MeanMutualInformation numeric
@attribute meta_NBAUC numeric
@attribute meta_DecisionStumpKappa numeric
@attribute meta_HoeffdingDDM.warnings numeric
@attribute meta_NoiseToSignalRatio numeric
@attribute meta_RandomTreeDepth3AUC_K=0 numeric
@attribute meta_PercentageOfNumericAtts numeric
@attribute meta_EquivalentNumberOfAtts numeric
@attribute meta_HoeffdingDDM.changes numeric
@attribute meta_ClassEntropy numeric
@attribute meta_NaiveBayesDdm.changes numeric
@attribute meta_NumMissingValues numeric
@attribute meta_NumNominalAtts numeric
@attribute meta_REPTreeDepth3AUC numeric
@attribute meta_MeanAttributeEntropy numeric
@attribute meta_MeanKurtosisOfNumericAtts numeric
@attribute meta_REPTreeDepth3Kappa numeric
@attribute meta_J48.001.ErrRate numeric
@attribute meta_NumNumericAtts numeric
@attribute meta_ClassCount numeric
@attribute meta_J48.00001.AUC numeric
@attribute meta_PercentageOfBinaryAtts numeric
@attribute meta_DecisionStumpAUC numeric
@attribute meta_RandomTreeDepth1AUC_K=0 numeric
@attribute meta_REPTreeDepth2Kappa numeric
@attribute meta_PositivePercentage numeric
@attribute meta_J48.0001.ErrRate numeric
@attribute meta_MinNominalAttDistinctValues numeric
@attribute meta_RandomTreeDepth2AUC_K=0 numeric
@attribute meta_MeanMeansOfNumericAtts numeric
@attribute meta_J48.0001.kappa numeric
@attribute meta_MeanNominalAttDistinctValues numeric
@attribute meta_J48.00001.kappa numeric
@attribute meta_PercentageOfNominalAtts numeric
@attribute meta_REPTreeDepth1Kappa numeric
@attribute meta_NegativePercentage numeric
@attribute meta_NumBinaryAtts numeric
@attribute meta_NaiveBayesDdm.warnings numeric
@attribute meta_MaxNominalAttDistinctValues numeric
@attribute meta_PercentageOfMissingValues numeric
@attribute meta_J48.001.AUC numeric
@attribute meta_J48.0001.AUC numeric
@attribute meta_NBKappa numeric
@attribute meta_REPTreeDepth1AUC numeric
@attribute meta_NaiveBayesAdwin.changes numeric
@attribute meta_REPTreeDepth3ErrRate numeric
@attribute meta_DecisionStumpErrRate numeric
@attribute meta_MeanStdDevOfNumericAtts numeric
@attribute meta_Dimensionality numeric
@attribute meta_REPTreeDepth2AUC numeric
@attribute meta_StdvNominalAttDistinctValues numeric
@attribute meta_HoeffdingAdwin.changes numeric
@attribute meta_MeanSkewnessOfNumericAtts numeric
@attribute meta_IncompleteInstanceCount numeric
@attribute meta_DefaultAccuracy numeric
@attribute meta_REPTreeDepth1ErrRate numeric
@attribute meta_J48.001.kappa numeric
@attribute meta_NumAttributes numeric
@attribute class {moa.NaiveBayes(1),moa.SPegasos(1),moa.LeveragingBag_kNN(1),moa.LeveragingBag_HoeffdingTree(1),moa.OzaBag_HoeffdingTree(1),moa.OzaBoost_HoeffdingTree(1)}

@data
2167,36.7,26.7,13.1,-1,0.971728,0.345919,0,-1,0.794001,0.97561,-1,0,1.584306,0,0,0,0.802262,-1,-0.443788,0.524963,25.3,40,3,0.824316,0,0.717575,0.616272,0.448687,0.323,26.1,-1,0.744199,0.896974,0.608143,-1,0.598952,0,0.288985,0.347,0,0,-1,0,0.814184,0.835432,0.803272,0.691604,0,31.6,43.6,1.265889,0.041,0.769285,-1,0,0.036756,0,0.347,47.1,0.619942,41,moa.LeveragingBag_HoeffdingTree(1)
164,16.8,16.3,15.6,0.054336,0.894739,0.676675,11,16.442962,0.825662,0,18.301048,0,0.994407,0,0,15,0.856438,0.947782,0,0.671446,16.3,0,2,0.836405,0.25,0.836405,0.825972,0.665765,0.456,16.3,2,0.83369,0,0.676675,3.933333,0.676675,0.9375,0.676675,0.544,4,6,14,0,0.836405,0.836405,0.686233,0.836405,0,16.5,16.3,0,0.016,0.860006,3.261609,0,0,0,0.544,16.3,0.676675,16,moa.OzaBag_HoeffdingTree(1)
128,61.5,46.8,18.3,0.16247,0.980476,0.109969,0,6.561647,0.779554,0,20.392881,0,3.313229,0,0,76,0.870886,1.22854,0,0.412973,44.6,0,10,0.837082,0,0.686007,0.699727,0.312519,0.077,47.7,3,0.759156,0,0.468692,3,0.478698,0.987013,0.153388,0.116,0,0,3,0,0.824423,0.831676,0.796366,0.730624,5,52.7,79.3,0,0.077,0.827162,0,5,0,0,0.116,75.7,0.503913,77,moa.OzaBoost_HoeffdingTree(1)
2154,14.5,14.5,17.7,0.085601,0.911037,0.711291,0,14.193878,0.881524,0.375,11.619703,0,0.994658,0,0,9,0.882835,1.300611,4.546581,0.718484,15,6,2,0.858229,0.25,0.858229,0.820762,0.711291,0.457,15,2,0.887258,231.50537,0.698496,4.555556,0.711291,0.5625,0.711291,0.543,4,0,14,0,0.889188,0.889188,0.638158,0.858229,0,14.1,14.5,1033.23038,0.016,0.858229,4.186619,0,1.777437,0,0.543,14.5,0.698496,16,moa.LeveragingBag_HoeffdingTree(1)
174,47.9,24.1,11.7,0.36446,0.989054,0.126458,0,1.80322,0.855874,0,10.392897,0,3.787792,0,0,35,0.874113,1.021661,0,0.541542,23.6,0,19,0.912249,0.444444,0.729716,0.753958,0.462935,0.011,23.9,2,0.838488,0,0.73617,2.857143,0.734091,0.972222,0.246817,0.149,16,0,7,0,0.909175,0.912994,0.871332,0.75862,2,41.2,76.5,0,0.036,0.849937,1.088519,5,0,0,0.149,65.8,0.739292,36,moa.LeveragingBag_HoeffdingTree(1)
2134,69.7,40.9,5.7,-1,0.997695,0.092942,0,-1,0.77961,0.984615,-1,0,3.318195,0,0,0,0.803767,-1,-0.364675,0.350896,41.2,64,10,0.803321,0,0.674223,0.633282,0.225229,0.09,41.2,-1,0.742304,0.050128,0.541901,-1,0.545274,0,0.091761,0.115,0,0,-1,0,0.794829,0.798375,0.936623,0.675588,8,58.4,81.7,2.156167,0.065,0.749131,-1,7,-0.005908,0,0.115,81.3,0.5419,65,moa.OzaBag_HoeffdingTree(1)
199,20.1,16.5,12.5,-1,0.867249,0.329905,0,-1,0.821938,0.75,-1,0,0.933172,0,0,0,0.792165,-1,-1.212516,0.560756,16.5,3,2,0.812889,0,0.695831,0.695831,0.555589,0.349,16.5,-1,0.820362,5.059851,0.62671,-1,0.62671,0,0,0.651,0,0,-1,0,0.812889,0.812889,0.713287,0.4989,0,19.8,33.1,2.906369,0.004,0.792594,-1,0,-0.043108,0,0.651,34.9,0.62671,4,moa.LeveragingBag_HoeffdingTree(1)
127,24.9,28.3,25.9,0.036321,0.756839,0.315849,0,42.667982,0.637534,0,24.591378,0,0.893173,0,0,9,0.672515,1.586047,0,0.30113,28.3,0,2,0.574687,0.3,0.652291,0.650699,0.306445,0.31,28.3,2,0.668153,0,0.138823,5.666667,0.138823,0.9,0,0.69,3,5,13,0,0.574687,0.574687,0.358689,0.5,0,26.1,28.8,0,0.01,0.678824,4.472136,0,0,0,0.69,31,0.138823,10,moa.OzaBag_HoeffdingTree(1)
193,32.5,29.9,37.2,0.116136,0.815697,0.377359,5,-9.610623,0.805017,0.454545,-8.610623,0,-1,0,0,5,0.769631,-1,-0.479355,0.472786,29.3,5,10,0.770553,0,0.732515,0.721129,0.377359,0,29.9,4,0.775566,6.0158,0.435791,4,0.435791,0.454545,0.377359,0.528,0,5,4,0,0.779982,0.770553,0.383165,0.732515,1,28.7,32.5,2.429121,0.011,0.732515,0,1,0.19306,0,0.528,32.5,0.450504,11,moa.OzaBoost_HoeffdingTree(1)
126,23.2,20.8,12.6,0.091538,0.953446,0.531942,1,11.22847,0.788646,0,13.76976,0,1.260462,0,0,18,0.829359,1.119374,0,0.561152,19.9,0,4,0.829382,0.473684,0.769735,0.662984,0.558838,0.017,20.5,2,0.744077,0,0.610405,2.944444,0.598256,0.947368,0.531942,0.523,9,3,8,0,0.864316,0.832649,0.766719,0.806142,0,23.1,24.6,0,0.019,0.83081,1.474179,0,0,0,0.523,24.6,0.623421,19,moa.LeveragingBag_HoeffdingTree(1)
