@relation qsbr_y22

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric

@data
0,0.032882,0.091012,0.801202,0.929842,0.955579,0.26493,0.775781,0.928573,0.135471
0.066682,0.10795,0.160136,0.747909,0.867854,0.90897,0.267115,0.780267,0.928573,0.645156
0.133363,0.139047,0.207372,0.694379,0.805869,0.858527,0.267217,0.789235,1,0.677415
0.199993,0.20613,0.268432,0.640929,0.743876,0.804782,0.267322,0.793718,0.928573,0.638705
0.266672,0.239892,0.334101,0.587401,0.681889,0.748197,0.266905,0.798204,0.928573,0.561287
0.333351,0.30342,0.390551,0.533949,0.619898,0.689089,0.266905,0.798204,0.928573,0.399997
0.40003,0.338516,0.451611,0.48042,0.55791,0.627731,0.267217,0.802687,0.928573,0.329031
0.466662,0.39849,0.512671,0.426893,0.49592,0.564335,0.267115,0.802687,0.928573,0.245159
0.60002,0.494011,0.634794,0.31998,0.371951,0.432102,0.298919,0.802687,0.928573,0.129025
0.733323,0.590859,0.755765,0.212926,0.247976,0.293508,0.340701,0.807173,0.928573,0.103215
1,1,1,0,0,0,0.406392,0.807173,0.928573,0
0.144625,0.00756,0.041466,0.956545,1,1,0.724652,0.744392,0.857144,0.593543
0.277983,0.117279,0.17281,0.849886,0.876029,0.911904,0.729132,0.771298,0.785716,0.696769
0.411294,0.223011,0.293777,0.742985,0.752051,0.807903,0.729534,0.78475,0.785716,0.503223
0.501308,0.126609,0.207372,0.944273,0.878429,0.913558,1,0.699548,0.857144,0.470964
0.567987,0.152819,0.268432,0.890756,0.816436,0.863294,0.999876,0.708517,0.857144,0.419351
0.634657,0.239448,0.329492,0.837304,0.754448,0.809686,0.999876,0.708517,0.857144,0.225805
0.030369,0,0,0.857075,0.910585,0.993627,0,0.672642,0,0.038702
0.09705,0.242114,0.026486,0.800656,0.84859,0.950483,0.002997,1,1,0.083877
0.163732,0.114613,0.086405,0.740641,0.786587,0.905244,0.018289,0.677126,0.642855,0.980635
0.230364,0.124386,0.114053,0.683282,0.724587,0.854825,0.095199,0,0.785716,1
0.363721,0.228786,0.235023,0.574427,0.600604,0.744533,0.174402,0,0.857144,0.729031
0.563709,0.419814,0.418202,0.41314,0.414638,0.560684,0.218576,0.690579,0.928573,0.425803
0.630379,0.433142,0.479262,0.359462,0.352651,0.495415,0.227618,0.022415,0.928573,0.387095
0.519607,0.388273,0.081795,1,0.864928,0.955822,0.655845,0.991034,0.857144,0.561287
