@relation selwood2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute oz51 numeric
@attribute oz52 numeric
@attribute oz53 numeric
@attribute oz54 numeric

@data
0.001625,0.996102,0.00803,0.942999,0.01798,0.983481,0,0.879747,0.011754,0,0.617503,0.444541,0.468381,0.221788,0.999353,0.986801,0.302794,1,0.8354,0.872528,0.998349,0.958191,0.944162,0.974697,0.969834,0.707128,0.065035,0.310678,0.183562,0.032804,0.973686,0.005336,0.00474,0.004508,0.181146,0.209146,0,0.077877,0.103727,0.261929,0.186778,0.075082,0,0.112778,0.144913,0.228481,0.04561,0.162287,0.290048,0,0,0.056817,0.061206,0
0.745524,0.665663,0.73411,0.801867,0.766098,0.126606,0.532571,0.967088,0.207993,0.313418,0.933118,0.538895,0.500492,0.292822,0.997004,0.981963,0.844521,0.99402,0.897342,0.983828,0.996739,0.873422,0.884587,0.993163,0.754858,0.54506,0.058514,0.192697,0.027915,0.280294,0.799532,0.10201,0.057783,0.245882,0.485171,0.399651,0.415471,0.215,0.22075,0.314031,0.496705,0.549541,0.453638,0.333331,0.21036,0.594585,0.087031,0.149286,0.205017,0.104263,0.59794,0.534088,0.857152,0
0,0.997702,0,0.944366,0.007607,0.992683,0.005668,0.864557,0,0.00395,0.609942,0.463686,0.481486,0.187689,0.998981,0.985577,0.235513,0.999932,0.81974,0.861444,0.997953,0.954735,0.93929,0.97265,0.827516,0.595011,0.050695,0.262569,0.152964,0.023744,0.825809,0,0,0,0.9534,0.945358,0.072013,0.809105,0.819789,0.891968,0.734153,0.300773,0.572498,0.454149,0.822623,0.633431,0.110506,0,0.057864,0.648393,0.046384,0.090899,0,0.068018
0.642271,0.678788,0.709276,0.104425,0.76679,0.133946,0.407924,0.974683,0.204468,0.304372,0.472971,0.471676,1,0.409302,0.986217,0.984433,0.740026,0.964789,0.780312,0.962895,0.983967,0.961481,0.963319,0.980142,0.052112,0.041222,0.042667,0.078656,0.00771,0.047111,0.063265,0.105736,0.057681,0.177937,0.667908,0.554195,0.830237,0.361233,0.341887,0.381639,0.511066,0.849966,0.779939,0.53699,0.215978,0.270406,0.155976,0.285716,0.147203,0.41809,0.530931,0.363634,0.551021,0.074835
0.00325,0.996984,0.002187,0.944139,0.012447,0.996326,0.004237,0.865823,0.003535,0.00395,0.79503,0.507076,0.469584,0.219802,0.999333,0.986736,0.297526,0.99997,0.834865,0.871402,0.99839,0.958281,0.943863,0.974655,0.989821,0.724454,0.065631,0.316861,0.187137,0.033522,0.989511,0.004369,0.00484,0.003506,0.867596,0.874182,0.063263,0.729318,0.757161,0.860587,0,0.097872,0.508888,1,0.438254,0.658259,0.244874,0.165677,0.042029,0.649776,0.097955,0.056817,0.061206,0.085044
0.002423,0.996984,0.004375,0.94391,0.013139,1,0.004237,0.870886,0.007052,0.001572,0.616302,0.445987,0.470415,0.219006,0.999323,0.986816,0.299115,0.99995,0.835608,0.871541,0.99839,0.958502,0.944095,0.974779,1,0.733343,0.066086,0.320274,0.189528,0.034012,1,0.004623,0.004992,0.003696,0.352753,0.377011,0.016249,0.18433,0.214434,0.409691,0.412767,0,0.127207,0.205199,0.308124,0.376155,0.062887,0.123041,0.20066,0.162445,0.082484,0.056817,0.061206,0.234685
0.054453,1,0.029212,0.94984,0,0.820179,0.004237,0.970885,0.16569,0.303979,0.283596,0.528286,0.528693,0.112025,0.867546,0.886905,0.374343,0.764165,0.196882,0.887558,0.869621,0.950495,0.945264,0.941492,0,0.006483,0,0,0.001027,0,0,0.048946,0.013361,0.117662,0.592165,0.485947,0.365672,0.351915,0.367801,0.430351,0.592947,0.354503,0.693496,0.53968,0.163643,0.453145,0.155792,0.298227,0.126236,0.453401,0.623714,0.056817,0.061206,0.244895
0.902438,0.6348,0.777206,0.836295,0.573013,0.168807,0.920677,0.860759,0.141013,0.01181,0.302867,0.000597,0.467994,0.999237,0.985084,0.999406,0.955434,0.983032,0.995251,0.989486,0.981321,0.997221,0.996829,0.999221,0.028267,0.223185,0.121761,0.105041,0.113021,0.13439,0.047245,0.155602,0.137094,0.118401,1,1,0.077013,1,1,1,1,0.412815,0.645057,0.514618,1,0.774393,1,1,0.431771,1,0.087641,0.534088,0.857152,0.360541
0.762598,0.673112,0.804965,0,1,0.077063,0.501409,0.986076,0.186842,0.314597,0,0.74614,0.08617,0.424701,0.992993,0.988194,0.871886,0.966372,0.85343,0.983089,0.991923,0.942561,0.949336,0.991975,0.049606,0.053259,0.091154,0.018241,0.008147,0.059117,0.069426,0.139984,0.085816,0.198387,0.72776,0.589582,0.92918,0.382197,0.355389,0.379259,0.476676,0.910739,0.852502,0.532906,0.214531,0.288451,0.154898,0.283837,0.077735,0.408876,0.685569,0.386361,0.979611,0.374144
0.739833,0.668324,0.738494,0.805971,0.758486,0.11743,0.565148,0.973417,0.247947,0.304765,0.638951,0.638594,0.582818,0.036102,0.643371,0.666764,0.880981,0.624543,0.64021,0.730672,0.647628,0.817519,0.819939,0.809002,0.027749,0.019007,0.078147,0.047933,0.011675,0.074216,0.057925,0.139202,0.080975,0.191055,0.469282,0.368187,0.434197,0.220676,0.218546,0.318005,0.189834,0.63796,0.444494,0.538574,0.133429,0.096367,0.155355,0.271369,0.743299,0.288817,0.773198,0.534088,0.061206,0.408159
0.73658,0.667081,0.731189,0.804147,0.757794,0.126606,0.550984,0.967088,0.192717,0.314597,0.977929,0.646221,0.508212,0.297489,0.995456,0.977599,0.822965,0.993466,0.894553,0.985617,0.995376,0.846383,0.861457,0.996602,0.835696,0.574601,0.057778,0.214086,0.028425,0.342386,0.87899,0.087265,0.048556,0.257451,0.340042,0.272489,0.278927,0.097171,0.105796,0.194726,0.313249,0.507292,0.226816,0.317754,0.046039,0.206992,0.082509,0.187098,0.729654,0.360358,0.850504,0.534088,0.857152,0.452376
