@relation pah2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute oz51 numeric
@attribute oz52 numeric
@attribute oz53 numeric
@attribute oz54 numeric
@attribute oz55 numeric
@attribute oz56 numeric
@attribute oz57 numeric
@attribute oz58 numeric
@attribute oz59 numeric
@attribute oz60 numeric
@attribute oz61 numeric
@attribute oz62 numeric
@attribute oz63 numeric
@attribute oz64 numeric
@attribute oz65 numeric
@attribute oz66 numeric
@attribute oz67 numeric
@attribute oz68 numeric
@attribute oz69 numeric
@attribute oz70 numeric
@attribute oz71 numeric
@attribute oz72 numeric
@attribute oz73 numeric
@attribute oz74 numeric
@attribute oz75 numeric
@attribute oz76 numeric
@attribute oz77 numeric
@attribute oz78 numeric
@attribute oz79 numeric
@attribute oz80 numeric
@attribute oz81 numeric
@attribute oz82 numeric
@attribute oz83 numeric
@attribute oz84 numeric
@attribute oz85 numeric
@attribute oz86 numeric
@attribute oz87 numeric
@attribute oz88 numeric
@attribute oz89 numeric
@attribute oz90 numeric
@attribute oz91 numeric
@attribute oz92 numeric
@attribute oz93 numeric
@attribute oz94 numeric
@attribute oz95 numeric
@attribute oz96 numeric
@attribute oz97 numeric
@attribute oz98 numeric
@attribute oz99 numeric
@attribute oz100 numeric
@attribute oz101 numeric
@attribute oz102 numeric
@attribute oz103 numeric
@attribute oz104 numeric
@attribute oz105 numeric
@attribute oz106 numeric
@attribute oz107 numeric
@attribute oz108 numeric
@attribute oz109 numeric
@attribute oz110 numeric
@attribute oz111 numeric
@attribute oz112 numeric
@attribute oz113 numeric

@data
0.018687,0.057142,0.013845,0.048133,0,0.024076,0.507714,0.340379,0.914273,0.032256,0,0.033331,0.026272,0.020234,0.99254,0.005864,0.008483,0.004899,0.008629,0.044905,0,0.006719,0.062776,0.021783,0.01794,0.008617,0.002587,0.204211,0.011906,0.00363,0.02102,0.003664,0.001115,0.073273,0.024666,0.00003,0.004434,0.004434,0.004434,0.004434,0.004434,0.882135,0.96315,0.96315,0.96315,0.96315,0.96315,0.27336,0,0,0.023585,0,0.045241,0.086957,0.168282,0.110128,0.425436,0,0.042252,0.151908,0.202384,0.500741,0.018755,0.023368,0.08107,0.096939,0.019584,0.018993,0.007354,0.015621,0,0,0.268188,0,0.083654,0,0.030304,0,0,0.036152,0.032472,0.023157,0.015838,0.01051,0.032236,0.516487,0.941174,0.909074,1,1,0.975001,0.027351,0.017776,0.004542,0,0,0.022081,0.252249,0.434208,0.433337,0.422226,0.399997,0.454543,0.036152,0.032472,0.023157,0.015838,0.01051,0.032236,0.032471,0.042185,0.014572,0.247192
0.046725,0.07619,0.041519,0.067745,0.02222,0.038172,0.28705,0.201905,0.871431,0.064512,0.055549,0.066677,0.051236,0.037673,0.88059,0.011549,0.013554,0.009092,0.011711,0.081631,0.488654,0.013661,0.096639,0.04688,0.038786,0.019886,0.005746,0.219338,0.011906,0.00716,0.0456,0.006723,0.001963,0.374314,0.062378,0.000057,0.012515,0.012515,0.012515,0.012515,0.012515,0.944747,0.979904,0.979904,0.979904,0.979904,0.979904,0.245678,0.12293,0.047188,0.072322,0.121935,0.107268,0.138094,0.229399,0.204171,0.539469,0.234374,0.267606,0.227836,0.190486,0.500741,0.027197,0.035044,0.090261,0.110884,0.037311,0.03164,0.017923,0.046877,0.199998,0.702006,0.254542,0,0.095929,0,0.034843,0,0,0.080573,0.059163,0.05777,0.04545,0.035224,0.044056,0.703295,0.89706,0.863623,0.886792,0.893617,0.850006,0.083653,0.055913,0.053047,0.042485,0.035118,0.041784,0.549545,0.539471,0.550004,0.511118,0.457135,0.454543,0.080573,0.059163,0.05777,0.04545,0.035224,0.044056,0.059145,0.05782,0.033213,0.054305
0.046725,0.07619,0.038054,0.065964,0.02222,0.038172,0.28705,0.201905,0.871431,0.064512,0.055549,0.055556,0.052791,0.04114,0.962698,0.012362,0.014255,0.009835,0.012234,0.085388,0.509512,0.014558,0.116734,0.045587,0.037633,0.020577,0.006013,0.290649,0.011906,0.008169,0.044125,0.006648,0.001923,0.376796,0.067753,0.000057,0.013412,0.013412,0.013412,0.013412,0.013412,0.88859,0.923646,0.923646,0.923646,0.923646,0.923646,0.261249,0.279071,0.059442,0.070219,0.171257,0.107268,0.138094,0.304948,0.204171,0.535083,0.265626,0.028176,0.088604,0.273811,1,0.035641,0.04439,0.135955,0.176621,0.039958,0.037974,0.016544,0.07031,0.199998,0.702006,0.420206,0,0.09796,0,0.035492,0,0,0.080573,0.058055,0.064722,0.037149,0.025872,0.049882,0.703295,0.882348,0.954525,0.943408,0.87234,0.850006,0.083653,0.05537,0.058981,0.029958,0.02432,0.048452,0.549545,0.539471,0.599996,0.488893,0.428569,0.5,0.080573,0.058055,0.064722,0.037149,0.025872,0.049882,0.058054,0.06562,0.031968,0.161046
0.065429,0.085722,0.058814,0.078434,0.02222,0.062248,0.28705,0.186529,0.804747,0.096774,0.055549,0.088894,0.078967,0.060941,0.865669,0.019218,0.020282,0.015067,0.016063,0.123277,0.558789,0.023068,0.155288,0.068904,0.058216,0.036478,0.010287,0.361962,0.011906,0.012807,0.0671,0.010198,0.003005,0.748366,0.113293,0.000088,0.0243,0.0243,0.0243,0.0243,0.0243,0.939238,0.898181,0.898181,0.898181,0.898181,0.898181,0.328723,0.255825,0.093068,0.122421,0.212075,0.170029,0.261941,0.388052,0.393115,0.785087,0.031252,0.366198,0.379749,0.297626,1,0.04596,0.058408,0.150305,0.114868,0.059576,0.050633,0.03125,0.109373,0.299997,1,0.373237,0,0.109909,0,0.039953,0,0,0.116673,0.094102,0.070304,0.065413,0.054839,0.063872,0.714292,1,0.772722,0.849072,0.851064,0.850006,0.126886,0.107351,0.074222,0.073297,0.064699,0.069902,0.630616,0.789474,0.566678,0.555556,0.514278,0.545447,0.116673,0.094102,0.070304,0.065413,0.054839,0.063872,0.094081,0.097655,0.049627,0.069298
0.065429,0.085722,0.055365,0.076653,0.02222,0.062248,0.28705,0.186529,0.804747,0.096774,0.055549,0.077782,0.08158,0.067304,0.99254,0.020843,0.021685,0.016552,0.017108,0.12958,0.573752,0.02486,0.188602,0.066955,0.056333,0.037859,0.010777,0.467848,0.011906,0.015025,0.06481,0.010047,0.00292,0.752361,0.123535,0.000089,0.026096,0.026096,0.026096,0.026096,0.026096,0.854509,0.819823,0.819823,0.819823,0.819823,0.819823,0.321802,0.461795,0.109135,0.121104,0.228514,0.170029,0.261941,0.472531,0.393115,0.780698,0.078131,0.169009,0.126581,0.285709,0.625179,0.060969,0.074764,0.223693,0.262279,0.08331,0.063291,0.027574,0.124998,0.299997,1,0.488893,0,0.113767,0,0.041186,0,0,0.116673,0.092998,0.07582,0.064016,0.04021,0.06057,0.714292,0.985288,0.848488,0.981128,0.87234,0.800008,0.126886,0.106801,0.078859,0.068548,0.045073,0.064976,0.630616,0.789474,0.616665,0.622229,0.485706,0.5,0.116673,0.092998,0.07582,0.064016,0.04021,0.06057,0.092986,0.110155,0.047605,0.082402
0.074769,0.095237,0.062283,0.083779,0.044439,0.052235,0.125009,0.092301,0.833323,0.096774,0.11111,0.077782,0.080336,0.064122,0.940295,0.020031,0.020856,0.015661,0.016288,0.125438,0.779906,0.023964,0.171807,0.06966,0.058095,0.034681,0.00965,0.363581,0.011906,0.014118,0.067586,0.009971,0.002826,0.685773,0.117435,0.000088,0.024188,0.024188,0.024188,0.024188,0.024188,0.892269,0.895507,0.895507,0.895507,0.895507,0.895507,0.247408,0.32226,0.117959,0.121625,0.129873,0.170029,0.189434,0.472531,0.30082,0.62718,0.46875,0.014076,0.037977,0.333336,0.625179,0.056279,0.07009,0.202797,0.262279,0.066979,0.063291,0.023897,0.093747,0.500005,0.814736,0.468186,0,0.112268,0,0.040678,0,0,0.124996,0.083639,0.106309,0.058376,0.041318,0.068014,0.868144,0.823522,1,0.905664,0.787234,0.77501,0.140015,0.093049,0.113331,0.0599,0.048656,0.075146,0.792793,0.631579,0.733331,0.555556,0.457135,0.5,0.124996,0.083639,0.106309,0.058376,0.041318,0.068014,0.083621,0.090621,0.049995,0.301499
0.074769,0.095237,0.062283,0.083779,0.044439,0.052235,0.125009,0.092301,0.833323,0.096774,0.11111,0.077782,0.080052,0.063326,0.925374,0.01985,0.020729,0.015512,0.016212,0.124591,0.775398,0.02374,0.167677,0.069744,0.058216,0.034666,0.009645,0.36142,0.011906,0.013765,0.067703,0.009934,0.002806,0.687036,0.117197,0.000088,0.023963,0.023963,0.023963,0.023963,0.023963,0.899628,0.902881,0.902881,0.902881,0.902881,0.902881,0.247408,0.348839,0.117402,0.121532,0.146316,0.170029,0.189434,0.472531,0.30082,0.62718,0.46875,0,0.025326,0.32143,1,0.049712,0.063082,0.171328,0.188573,0.062543,0.056963,0.028493,0.093747,0.500005,0.814736,0.436367,0,0.112268,0,0.040678,0,0,0.124996,0.083639,0.106309,0.058376,0.041553,0.065252,0.868144,0.823522,1,0.905664,0.787234,0.750011,0.140015,0.093049,0.113331,0.0599,0.048805,0.072921,0.792793,0.631579,0.733331,0.555556,0.457135,0.5,0.124996,0.083639,0.106309,0.058376,0.041553,0.065252,0.083621,0.089837,0.050105,0.277154
0.074769,0.095237,0.065743,0.085567,0.044439,0.052235,0.125009,0.092301,0.833323,0.096774,0.11111,0.088894,0.078378,0.059352,0.843288,0.018858,0.0199,0.014622,0.015615,0.1208,0.756343,0.02262,0.146752,0.071182,0.059535,0.033795,0.009337,0.301455,0.011906,0.012454,0.069362,0.010047,0.002865,0.683306,0.110167,0.000088,0.022841,0.022841,0.022841,0.022841,0.022841,0.953956,0.955796,0.955796,0.955796,0.955796,0.955796,0.238758,0.401995,0.103842,0.123645,0.162755,0.170029,0.189434,0.388052,0.30082,0.635959,0.453125,0.225361,0.151908,0.309526,1,0.044084,0.056073,0.139857,0.151388,0.05808,0.050633,0.029412,0.093747,0.500005,0.814736,0.40051,0,0.110238,0,0.04003,0,0,0.124996,0.084746,0.099292,0.067185,0.047463,0.068014,0.868144,0.838234,0.909074,0.867944,0.765957,0.77501,0.140015,0.0936,0.107497,0.072688,0.05668,0.078006,0.792793,0.644732,0.683343,0.555556,0.457135,0.545447,0.124996,0.084746,0.099292,0.067185,0.047463,0.068014,0.084712,0.081646,0.051525,0.069298
0.074769,0.095237,0.069202,0.08735,0.044439,0.052235,0.125009,0.092301,0.833323,0.096774,0.11111,0.100005,0.077031,0.056171,0.783583,0.018045,0.019197,0.01388,0.015092,0.117458,0.742289,0.021724,0.130235,0.072473,0.06068,0.033021,0.009061,0.247969,0.011906,0.011446,0.070838,0.010198,0.00295,0.679341,0.103923,0.000088,0.021943,0.021943,0.021943,0.021943,0.021943,1,1,1,1,1,1,0.192045,0.192685,0.091583,0.125942,0.096995,0.170029,0.189434,0.314564,0.30082,0.640349,0.437501,0.450706,0.278481,0.226199,0.500741,0.035641,0.046727,0.097822,0.114868,0.05808,0.050633,0.025736,0.062497,0.500005,0.814736,0.236373,0,0.108206,0,0.039381,0,0,0.124996,0.085853,0.09234,0.075425,0.057359,0.061351,0.868144,0.852945,0.818171,0.8302,0.808511,0.750011,0.140015,0.09415,0.101556,0.085107,0.067879,0.07022,0.792793,0.644732,0.633335,0.555556,0.485706,0.5,0.124996,0.085853,0.09234,0.075425,0.057359,0.061351,0.085803,0.07422,0.052782,0.245319
0.074769,0.095237,0.069202,0.08735,0.044439,0.052235,0.125009,0.092301,0.833323,0.096774,0.11111,0.100005,0.077696,0.057764,0.820898,0.018496,0.019644,0.014325,0.015466,0.119553,0.740622,0.022172,0.138493,0.072047,0.060242,0.033214,0.00913,0.267418,0.011906,0.012,0.070333,0.010123,0.002911,0.681573,0.107769,0.000087,0.022392,0.022392,0.022392,0.022392,0.022392,0.976053,0.976561,0.976561,0.976561,0.976561,0.976561,0.233568,0.192685,0.089447,0.125758,0.146316,0.170029,0.189434,0.314564,0.30082,0.640349,0.453125,0.46479,0.164558,0.226199,1,0.044084,0.056073,0.139857,0.151388,0.05808,0.050633,0.027574,0.078122,0.500005,0.814736,0.40051,0,0.110238,0,0.04003,0,0,0.124996,0.085853,0.090897,0.083537,0.046842,0.059138,0.868144,0.852945,0.803013,0.924536,0.765957,0.725012,0.140015,0.09415,0.099827,0.098622,0.055713,0.065454,0.792793,0.644732,0.616665,0.666667,0.457135,0.454543,0.124996,0.085853,0.090897,0.083537,0.046842,0.059138,0.085803,0.077729,0.052277,0.08801
