@relation qsfrdhla2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric

@data
0.014564,0.146609,0.445047,0.168336,0.120047,0.283657,0.627127,0.754102,0.087727,0.918689,0.216212,0.807237,0.69999,0.605005,0.319507,0.369559,0.609593,0.106033,0.249008,0.475406,0.810525,0.30588,0.25658,0.5,0.102052,0.947759,0,0.443749,0.404254,0.946444,0.823541,1,0.291668,0
0,0.792053,0.598894,0.942201,1,0.073603,0,0,1,0.951211,0.210807,0,0,0.710006,0.126826,0.173904,0.06851,0.228859,0.93979,0.463111,0.463163,0.411763,0.32237,1,0.626847,0,1,0.112481,1,0.625013,0,0,0.416664,0
0.0089,0.339361,0.456037,0.396175,0.535302,0.08617,0.237299,0.229505,0.701763,0.918689,0.159454,0.417674,0.111108,1,0,0,0,0.000298,0.867485,0.442619,0.547371,0.094099,0.671066,0,0.282154,0.552238,0.782693,0,0,0.32144,0.078428,0.500008,0,0
0.002426,0.518101,0.560431,0.550496,0.696314,0.211845,0.288147,0.180341,0.789487,0.878035,0.162157,0.457841,0.111108,0.890011,0.053653,0.021741,0.358453,0.177509,0.811259,0.69262,0.968409,0.129398,0.401317,0,0.405829,0.421633,0.959837,0.025003,0.056321,0.660727,0.117641,0.500008,0.041661,0
0.004856,0,0,0,0.031064,0.181325,0.593228,0.770495,0,1,0.008091,0.771094,0.455547,0.785006,0.253656,0.282604,1,0,1,0.889336,0.042131,0.329409,0.822364,0.5,0,0.966416,0,0.17499,0.400499,0.946444,0.823541,0.916685,0.375001,0
0.140777,0.589361,0.565925,0.641967,0.334739,0.260318,0.271197,0.475418,0.421061,0.951211,0.197294,0.546193,0.14444,0.605005,0.456092,0.304342,0.139274,0.252966,0.112446,0.233605,0.736843,0.517646,0.197369,0.750012,0.512812,0.559699,0.99233,0.337498,0.603255,0,0.568632,0.625008,0.395831,0
0.005663,0.598124,0.988994,0.521316,0,1,1,1,0.052638,0.081276,0.832438,1,1,0.099993,0.92681,0.858698,0.833343,0.93773,0.670696,0.31557,0.473688,0.952936,0.078947,0.5,0.448151,0.970149,0.002886,0.893753,0.406757,0.964299,0.941196,0.562509,0.854159,0
0.004856,0.592866,0.988994,0.589216,0.084736,0.67504,0.745772,0.901641,0.105272,0,0.567572,0.919686,0.922225,0.039984,0.763405,0.750002,0.691784,0.781047,0.281136,0.172128,0.821056,0.447056,0.131579,0.5,0.441568,1,0.008655,0.925024,0.401751,0.964299,0.98041,0.833342,0.624996,0
0.252426,0.609806,0.708785,0.647018,0.105924,0.554755,0.661025,0.770495,0.175445,0.40243,0.432433,0.811253,0.711101,0.289997,0.819504,0.967404,0.552517,0.703132,0,0.090172,1,0.388234,0,0.5,0.508815,0.832089,0.027499,0.756254,0.371713,0.821443,0.941196,0.791674,0.624996,0
0.373785,0.800239,0.901092,0.755883,0.0805,0.804297,0.830507,0.868858,0,0.052826,0.756765,0.951823,0.811101,0.039984,0.599993,0.793481,0.707766,0.815463,0.076334,0.020492,0.57895,0.800006,0.124998,0.5,0.69128,0.936565,0.00673,1,0.339172,0.017855,0.764717,0.458342,0.770838,1
0.001619,0.367398,0.769224,0.329398,0.433608,0,0.288147,0.327876,0.614045,0.601615,0.729735,0.678724,0.322215,0.605005,0.053653,0.184775,0.121009,0.062906,0.859451,0.532784,0,0,1,0.5,0.256995,0.839552,0.030386,0.750003,0.4418,0.267864,0.450984,0.666674,0.229168,0
0.012945,0.191007,0.335144,0.234006,0.299427,0.05565,0.355941,0.491811,0.385974,0.841453,0,0.602419,0.411104,0.825007,0.070744,0.33695,0.063921,0.022346,0.851418,1,0.315795,0.364702,0.618422,0.5,0.149313,0.805969,0.032118,0.256247,0.364203,0.660727,0.549025,0.791674,0.208335,0
0,0.325343,0.681311,0.361385,0.324851,0.08617,0.37289,0.409845,0.385974,0.788608,0,0.634548,0.422215,0.760006,0.165851,0.282604,0.461191,0.089702,0.598405,0.606553,0.315795,0.670588,0.421053,0.5,0.258876,0.757462,0.031924,0.418749,0.361701,0.500013,0.588241,0.687509,0.354168,0
0.881862,1,1,1,0.264117,0.74148,0.440687,0.721316,0.122814,0.182918,1,0.85543,0.399994,0,0.482919,0.608693,0.24658,1,0.040187,0,0.494742,0.588234,0.236841,0.5,1,0.839552,0.040385,0.893753,0.390486,1,0.764717,0.229164,1,1
1,0.801404,0.80219,0.834446,0.509879,0.163372,0.237299,0.311483,0.543868,0.089427,0.702709,0.714868,0.355547,0.405001,0.565848,0.543476,0.379,0.671502,0.502021,0.147538,0.210534,0.717646,0.43421,0.5,0.741362,0.641791,0.030963,0.762505,0.361701,0.678584,0.411767,0.229164,0.624996,1
0.010519,0.43983,1,0.428724,0.00704,0.901263,0.89831,0.967214,0.070183,0.365844,0.486487,0.923702,0.966668,0.314997,1,1,0.433795,0.700413,0.365476,0.233605,0.410531,1,0.052618,0.5,0.327298,0.906715,0.002499,0.718753,0.399247,0.892871,1,0.687509,0.791668,0
