@relation qsprcmpx1

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric

@data
0.857138,0.709473,0.800137,0.830206,0.589813,0.669241,0,0.575757,0.421052,0.032991,0.857133,0.565797,0.149988,0.520401,0,0,0.231582,0.212083,0.737196,0.514258,0.407399,0.395061,0.191492,0.247257,0.585631,0.442122,0.554223,0,0.338236,0,0.500006,0.847821,0,0.206899,0.388949,0.864201,0.654965,0.887459,0,0
0.142855,0.132115,0.111375,0.130155,0.037916,0.068104,0.141841,0.075744,0,0,0.172921,0.565797,0.149988,0.520401,0.85072,0.863539,0.823765,0,0.674244,0.924167,0.651937,0,0,0,0,0.492069,0,0,0,0.500005,1,0.49999,0.035711,0.639323,0.816144,0.655567,0,0.852876,0.021148,0.000373
0,0,0.00727,0.001815,0.013425,0.017249,0.464129,0.424241,0.456141,0.550193,0.037589,0.565797,0.149988,0.520401,1,1,1,0.887783,0.230375,0.931409,0.914437,0.049373,0.085104,0.060452,0.091806,0.627328,0,0,0,1,1,1,0.934055,0.832238,0.812955,0.499992,0.160069,0.908104,0.02616,0.015549
0.142855,0.257196,0.199575,0.188263,0.131311,0.155056,0.228485,0.454544,0.421052,0.273933,0.172921,0.565797,0.149988,0.520401,0.728739,0.768286,0.602505,0.993084,0.316683,0.928556,0.961443,0.209869,0.255323,0.22528,0.268228,0.264742,0.072284,0,0.044119,1,1,1,0.840656,0.594591,0.662053,0.600711,0.17665,0.881574,0.016453,0.027724
0.007875,0.114706,0,0.002363,0.010367,0.012617,0.341617,0,0.035069,0.179406,0,0,0.44999,0.047612,0.688926,0.6761,0.822681,0.630074,0.364704,0.93635,0.844632,0.12345,0.1383,0.126379,0.199134,0.132711,0.879515,0,0.536769,1,1,1,0.802194,0.821054,0.651425,0.615999,0.279967,0.91761,0.022149,0.036719
0.142855,0.165456,0.11774,0.001609,0.259114,0.239191,0.820077,0.378787,0.561406,1,0.172921,0.565797,0.149988,0.520401,0.87979,0.883703,0.888854,0.882354,0.131078,0.946775,0.911355,0.049373,0.106386,0.082434,0.094789,0.86753,0,0.377778,0.250001,1,1,1,0.695049,0.905844,0.69606,0.395675,0.16836,0.888274,0.025401,0.044025
0.142855,0.180366,0.156385,0.13954,0.171511,0.186839,0.431018,0.772717,0.771925,0.72398,0.172921,0.565797,0.149988,0.520401,0.796851,0.834766,0.66216,0.875943,0.173268,0.994843,0.953346,0.148139,0.180854,0.175828,0.245529,0.509429,0,0.066668,0.044119,1,1,1,0.582411,0.897469,0.479269,0.437941,0.237877,0.879222,0.020193,0.05208
0.714279,0.763105,0.748302,0.650579,0.521052,0.548863,0.147912,1,1,0.456329,0.71428,0.565797,0.149988,0.520401,0.204524,0.285606,0,0.878657,0,0.58527,0.602291,0.259254,0.882982,0.703294,0.232188,1,0,0.511114,0.338236,1,0,0,1,0.858332,0,0,0.565043,0.850882,0.00814,0.057324
0.142855,0.138326,0.178964,0.023605,0.249681,0.228349,0.647893,0.166662,0.315786,0.621667,0.172921,0.565797,0.149988,0.520401,0.781237,0.819815,0.647518,0.894934,0.32382,0.928667,0.927466,0.197524,0.244685,0.214289,0.267431,0.496206,0.409641,0,0.250001,1,1,1,0.901095,0.878834,0.689684,0.563841,0.169637,0.908827,0.024545,0.069687
0.007875,0.058394,0.019856,0.003595,0,0,0.443709,0.439392,0.491228,0.544364,0,0,0.799984,0.095223,0.637793,0.627966,0.768449,0.880384,0.312789,0.007885,0.182223,0.197524,0.510644,0.384617,0.284358,0.175966,0,1,0.661767,1,1,1,0.074176,0.939417,0.61742,0.555748,0.119265,0.873426,0.024473,0.087674
0.28571,0.303582,0.257764,0.355956,0.29636,0.346212,0.143498,0.378787,0.263152,0.124395,0.300742,0.565797,0.149988,0.520401,0.729324,0.713018,0.869862,1,0.26347,0.981234,0.998945,0.148139,0.191492,0.181324,0.202916,0.192205,0.072284,0.066668,0.088238,1,1,1,0.87637,0.554517,0.666305,0.37589,0.217469,0.862383,0.0155,0.11952
0.28571,0.364466,0.223669,0.019243,0.540257,0.497649,1,0.060595,0.263152,0.922876,0.300742,0.565797,0.149988,0.520401,0.799777,0.800564,0.841662,0.906277,0.162886,0.945566,0.923239,0.061717,0.117024,0.087918,0.083429,0.557768,0.409641,0.377778,0.500003,1,1,1,0.739007,1,0.64505,0.378588,0.02868,0.872794,0.026697,0.153241
0.28571,0.378755,0.254736,0.176128,0.435286,0.434411,0.508831,0.348481,0.368418,0.524567,0.300742,0.565797,0.149988,0.520401,0.790801,0.775306,0.913258,0.900112,0.25698,0.979368,0.960916,0.12345,0.180854,0.16484,0.183203,0.158713,0.409641,0.066668,0.29412,1,1,1,0.865381,0.854604,0.706686,0.308433,0.228309,0.889453,0.024301,0.162606
0.714279,0.714027,0.725422,0.666599,0.516023,0.568537,0.081136,0.69697,0.614038,0.197725,0.71428,0.565797,0.149988,0.520401,0.281237,0.316637,0.277669,0.201951,0.703446,0.911437,0.717783,0.530865,0.500006,0.5,0.70331,0.613387,0.554223,0,0.338236,0,1,0,0.818675,0,0.891595,0.997285,0.822054,0.974286,0.006136,0.235667
0.007875,0.090503,0.040466,0,0.019599,0.014428,0.444261,0.303027,0.385962,0.467251,0,0,1,0,0.681901,0.68731,0.729404,0.994804,0.259576,0.934922,0.959419,0.296291,0.276599,0.274729,0.390489,0.57998,1,0,0.610297,1,1,1,0.5412,0.594591,0.41338,0.669056,0.366701,0.884383,0.010732,0.297487
0.722141,0.785889,0.693296,0.668873,0.517327,0.564122,0.043059,0.484847,0.421052,0.063455,0.676687,0,0.899992,0.047612,0.135657,0.143142,0.298817,0.197764,0.762508,0.798727,0.633892,0.654324,0.563837,0.593405,0.804265,0,0.554223,0.811127,0.875011,0,1,0,0.711533,0.055,0.980866,0.92985,0.918995,0.990582,0.009608,0.303108
0.857138,0.785889,0.834979,0.670201,0.876816,0.893065,0.240623,0.469695,0.526317,0.319689,0.857133,0.565797,0.149988,0.520401,0.277918,0.273036,0.467474,0.188643,0.722265,0.924605,0.726146,0.567902,0.510644,0.521977,0.740746,0.485977,0.554223,0.377778,0.588238,0,1,0,0.519223,0.08201,0.570661,0.889395,0.741694,0.92268,0.000904,0.30442
0.857138,0.683586,0.872874,0.831336,0.780221,0.793671,0.09659,0.590908,0.649127,0.202794,0.857133,0.565797,0.149988,0.520401,0.115743,0.158311,0.116596,0.193577,0.720318,0.964884,0.759948,0.72841,0.670219,0.692303,0.858213,0.171592,0.554223,0.066668,0.382355,0,1,0,0.373619,0.034479,0.647175,0.828231,0.760179,0.916252,0.001418,0.420194
0.722141,0.641549,0.729815,0.667736,0.531067,0.560165,0.084449,0.666668,0.666672,0.206481,0.676687,0,0.499992,0,0.127446,0.147769,0.231024,0.204419,1,0.972234,0.80766,0.888886,0.797878,0.840656,0.79868,0.520499,0.554223,0.922229,0.948543,0,1,0,0.739007,0.189192,1,0.75359,1,1,0.013592,0.491193
0.738182,0.650659,0.749818,0.68878,0.531041,0.552841,0.10321,0.863635,0.894742,0.330276,0.834593,1,0.34999,1,0.248644,0.303046,0.161624,0.213316,0.771595,0,0,1,1,1,1,0.538255,0.554223,1,1,0,1,0,0.021971,0.02237,0.634423,1,0.67027,0.907016,1,0.587856
1,1,1,1,1,1,0.116455,0.681819,0.789484,0.27905,1,0.565797,0.149988,0.520401,0.158088,0.180957,0.243504,0.188904,0.704744,0.983649,0.771215,0.86422,0.73405,0.7857,0.964966,0.474538,0.554223,0.133333,0.426473,0,1,0,0.412081,0.178939,0.454827,0.813841,0.684303,0.052421,0.000757,0.878222
0.293572,0.318285,0.251855,0.320787,0.292225,0.332089,0.208065,0.515151,0.438596,0.27027,0.263146,0,0,0,0.557582,0.536686,0.759775,0.998019,0.165482,1,1,0.283946,0.319154,0.313189,0.373962,0.427115,1,0.133333,0.698532,1,1,1,0.656587,0.430567,0.310309,0.546754,0.418997,0,0.004058,1
