@relation qsbralks2

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric

@data
0,0,0.357305,1,0.484716,1,0.782036,0.9953,0.207308,0.656566,0.249997,0.400003,0.165541,0.021027,0.952958,0.909349,0.756864,0.306394,0.70063,0.919253,0.041421,0.836062
0.114268,0.556695,0.167518,0.532326,0.462883,0.906962,0.883535,0.564824,0.500324,0.605013,0.33333,0.120006,0.072635,0.008245,0.941742,0.713667,0.8,0.204265,0.52521,1,0.011835,0.964712
0.279582,0.154627,0.203192,0.518007,0.49345,0,0.180388,0.289548,0.399113,0.174574,0.291662,0.120006,0.04223,0.02198,0.963163,0.828775,0.756864,0.234052,0,0.906833,0.082839,0
0.393033,0.546385,0.237438,0.000244,1,0.525086,0.863204,1,0,0.375611,0.458335,0.360002,0.062501,0.001914,1,0.53813,1,0.32767,0.685926,0.714285,0.112426,0.389114
0.393033,0.25773,0,0.050772,0.842793,0.580909,0.842874,0.455395,0.383605,0.328447,0.291662,0.280005,0.36487,0.022578,0.969916,0.7482,0.788236,0.259584,0.514706,0.906833,0.053256,0.772062
0.393033,0.25773,0.03367,0.024486,0.978187,0.567155,0.851892,0.312541,0.254647,0,0.291662,0.400003,0,0.025205,0.963908,1,0.733332,0.331925,0.592438,0.925463,0.082839,0.349512
0.393033,0.144316,0.072768,0,0.074235,0.825237,0.839359,0.54694,0.163231,0.121107,0.291662,0.200005,0.037163,0.008125,0.970766,0.951087,0.77255,0.238309,0.535716,0.987576,0.029587,0.778163
1,0.814422,1,0.55476,0,0.048576,0,0.171816,0.378709,0.021486,1,0.640012,0.434126,0.011825,0.975816,0.64892,0.392152,0.829795,0.657564,0.285712,0.668656,0.150511
0.279582,0.577313,0.30365,0.497591,0.580788,0.312306,0.19032,0.322332,0.35504,0.148122,0.291662,0.039996,0.128378,0,0.963428,0.703596,0.756864,0.178733,0.618699,0.975156,0.153847,0.995618
0.474068,1,0.501142,0.56696,0.441046,0.093038,0.081321,0,0.957065,0.637883,0.666673,0.280005,0.836162,1,0,0.054674,0,0.27235,0.920177,0,1,0.981912
0.114268,1,0.130987,0.539262,0.371177,0.172341,0.292727,0.079827,1,0.781392,0,0,1,0.960461,0.003631,0,0.423523,0,1,0.801241,0.520717,0.627663
0.474068,0.721639,0.481735,0.604598,0.598256,0.134317,1,0.119229,0.655076,0.347359,1,1,0.234801,0.030939,0.990912,0.710789,0.392152,1,0.555673,0.291929,0.479296,0
0.114268,0.577313,0.155247,0.563171,0.467248,0.886716,0.868249,0.655731,0.716943,1,0.291662,0.240004,0.2973,0.021146,0.952692,0.471944,0.807843,0.276607,0.52101,0.987576,0,1
