@relation qsartox1

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric

@data
0.016026,0.007365,0.011845,0.122984,0.538812,0.303575,0.959015,0.782763,0.264749,0.613747,0.386253,1,0.692287,0.372518,0.898229,0.292303,1,0.096606,0.206997,0.057916,0.065762,0.497775,0.39365,0.020266
0.127935,0.242651,0.008104,0.027514,0.81278,0.209643,0.73661,0.546584,0.501246,0.613747,0.386253,0.995921,0.697674,0.381853,0.893794,0.292303,0.991492,0.17441,0.532729,0.354133,0.368413,0.749193,0.137592,0.137751
0.239845,0.455908,0.005611,0,1,0.115299,0.514205,0.290998,0.761243,0.613747,0.386253,0.995353,0.708499,0.378933,0.942475,0.292303,0.991492,0.297305,0.812797,0.643655,0.671032,1,0.212903,0.310539
0.178914,0.279411,0.238803,0.685581,0.283093,0.302616,0.667516,0.756965,0.23198,0.751322,0.248678,0.774999,0.962682,0.203503,0.951319,0.430775,0.940678,0.049027,0.170477,0.151455,0.072357,0.430024,0.156514,0.017669
0.290823,0.558822,0.197657,0.395305,0.520537,0.196822,0.444974,0.527718,0.46009,0.740744,0.259256,0.709872,0.573289,0.414033,0.694686,0.38461,0.889826,0.32518,0.441399,0.449884,0.388135,0.462958,0.197841,0.193255
0.514541,1,0.14529,0.019117,0.872153,0,0,0,1,0.677245,0.322755,0.869178,0.584114,0.353203,0.814146,0.323065,0.949147,0.546404,1,1,1,1,0.288998,0.504928
0.776248,0.382357,1,1,0.465738,0.744227,0.948604,1,0,0.523802,0.476198,0.087191,0.470529,0,0.460176,0.661532,0.254225,0.607264,0,0.069034,0.164468,0,0,0.08008
0.88809,0.632373,0.814844,0.612598,0.502288,0.653993,0.726062,0.784026,0.212142,0.417989,0.582011,0.350573,0.951882,0.008758,0.867261,0.507679,0.364399,0.301924,0.277,0.351892,0.460524,0.51044,0.00444,0.186096
1,0.897086,0.695771,0.332985,0.689483,0.555513,0.50363,0.55746,0.437033,0.486777,0.513223,0.327303,0.519215,0.070742,0.681407,0.476918,0.398275,1,0.576861,0.621391,0.782897,0.543374,0.254607,0.290021
0.127935,0.176465,0,0.027514,0.671233,0.240214,0.736747,0.522255,0.530692,0.603168,0.396832,0.951155,0.713911,0.350861,0.902639,0,0.949147,0,0.450544,0.349651,0.355254,0.759976,0.23377,0.304262
0.533536,0.455908,0.529941,0.679973,0,0.435529,0.729898,0.782454,0.214842,1,0,0,0.957294,0.032146,1,0.492299,0.466105,0.464637,0.190242,0.249447,0.263143,0.469927,0.563572,0.096136
0.162787,0.110311,0.256259,0.286383,0.305942,0.712533,0.708337,0.832736,0.149382,0,1,0.335462,0.582483,0.559048,0,1,0.016938,0.03457,0.03652,0.002241,0,0.581369,0.078126,0
0,0,0.040555,0.458758,0.283093,0.73883,1,0.857297,0.183657,0.264546,0.735454,0.510447,0.661987,1,0.792023,0.169234,0.35593,0.147601,0.108056,0,0.059198,0.453447,0.294396,0.326418
0.386606,0.816202,0.193293,0.393039,0.397265,0.509492,0.26339,0.357697,0.625649,0.153416,0.846584,0.327303,1,0.985369,0.743367,0.353849,0.135581,0.611472,0.677335,0.636962,0.749984,0.766944,1,0.48625
0.386606,0.79414,0.19641,0.393039,0.397265,0.514888,0.26339,0.35481,0.629155,0.201047,0.798953,0.256394,0.814497,0.985981,0.747777,0.353849,0.127112,0.199661,0.654503,0.648108,0.749984,0.766944,0.255013,0.397121
0.983873,0.705892,0.724448,0.150498,0.643834,1,0.544615,0.623669,0.366042,0.153416,0.846584,0.148842,0,0.650871,0.712375,0.307684,0,0.542714,0.487064,0.534517,0.749984,0.526284,0.930493,1
