@relation benzo322

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric

@data
0.378529,0.842707,0.130031,0.773211,0.406759,0.548824,0.276774,0.129112,0.144597,0.200196,0.596608,0.313566,0.661417,0.530589,0.434848,0.378949,0.547029,0.385649,0.515268,0.658456,0.24204,0.445295,0.389701,0.614323,0.359479,0.479254,0.720877,0.664153,0.470151,0.521385,0.60024,0.435737,0.6027
0.3629,0.715557,0.157042,0.643882,0.300657,0.466999,0.208451,0.424636,0.127079,0.210521,0.472769,0.357362,0.589411,0.646312,0.473641,0.242115,0.596017,0.430568,0.661498,0.584696,0.257994,0.580267,0.439543,0.527591,0.308825,0.26916,0.597681,0.554757,0.413719,0.784347,0.991172,0.769256,0.097133
0.273364,0.685554,0.792313,0.561711,0.454681,0.561396,0.536736,0.14146,0.475103,0.256781,0.490397,0.544106,0.669107,0.420555,0.457596,0.060447,0.583838,0.401806,0.535517,0.580263,0.352116,0.621466,0.310441,0.53,0.501702,0.336061,0.740604,0.501143,0.410845,0.591078,0.310277,0.55619,0.7206
0.732136,0.458711,0.618436,0.933582,0.338353,0.178437,0.341892,0.497542,0.347188,0.414478,0.409518,0.559559,0.599752,0.835014,0.371141,0.632725,0.425223,0.093129,0.630018,0.325768,0.29125,0.434602,0.250875,0.652314,0.571141,0.44413,0.598448,0.646952,0.24088,0.320355,0.598128,0.227906,0.7183
0.258322,0.610444,0.882161,0.485597,0.466135,0.653225,0.349013,0.242403,0.52086,0.315663,0.347285,0.65394,0.651054,0.468819,0.472883,0.053836,0.491467,0.477649,0.534676,0.492742,0.261203,0.711795,0.29566,0.622236,0.524466,0.50835,0.639882,0.427593,0.259263,0.686317,0.044195,0.375805,0.6514
0.647001,0.813712,0.212238,0.099048,0.42687,0.430034,0.532124,0.522093,0.670758,0.067302,0.169017,0.007465,0.987017,0.682303,0.633041,0.368239,0.591132,0.42927,0.752816,0.376158,0.242817,0.601769,0.387336,0.902185,0.383511,0.456703,0.799498,0.700578,0.449206,0.411136,0.34781,0.721311,0.746067
0.628261,0.645961,0.633232,0.732532,0.501092,0.490059,0.681055,0.22852,0.459645,0.243687,0.20805,0.552596,0.286675,0.608964,0.519728,0.356607,0.558422,0.531703,0.46483,0.543938,0.241074,0.5449,0.410605,0.667912,0.499436,0.378125,0.767302,0.663682,0.47669,0.464937,0.338011,0.509068,0.625
0.375267,0.832774,0.131785,0.755307,0.401303,0.550436,0.25564,0.163568,0.13759,0.207116,0.572021,0.314155,0.653379,0.538145,0.434164,0.373417,0.548977,0.395951,0.526253,0.667291,0.272761,0.426998,0.395853,0.599517,0.343824,0.439142,0.763925,0.643319,0.481573,0.502848,0.636431,0.574769,0.5746
0.510204,0.205323,0.181772,0.554007,0.661645,0.305899,0.469472,0.407438,0.405729,0.061646,0.483696,0.459424,0.483025,0.344871,0.440509,0.145165,0.637297,0.263181,0.343004,0.678068,0.1928,0.446767,0.510857,0.581543,0.555561,0.180258,0.61605,0.605915,0.571396,0.622403,0.595066,0.668643,0.2704
0.25462,0.429993,0.288063,0.452045,0.134689,0.591318,0.527242,0.312628,0.754146,0.444851,0.69671,0.355558,0.146284,0.636131,0.529426,0.615039,0.41259,0.518756,0.317179,0.441739,0.280735,0.529388,0.504205,0.769939,0.584802,0.481194,0.727458,0.457597,0.385089,0.645558,0.577428,0.751844,0.660367
0.641388,0.308733,0.329753,0.746945,0.293454,0.994516,0.610821,0.65535,0.340024,0.194452,0.335731,0.399274,0.519729,0.444862,0.439841,0.223859,0.556003,0.336971,0.405405,0.358526,0.247637,0.427019,0.430897,0.646405,0.414471,0.297318,0.65259,0.627228,0.413918,0.568371,0.545438,0.406231,0.6376
