@relation qsabr22

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric

@data
0,0.981302,1,0,0.102591,0.068931,0.048369,0.114299,0.274851,0.662968
0.289025,1,1,0.249984,0.663526,0.0358,0.21551,0.064286,0.296777,0.42129
0.028897,0.943931,0.893336,0.700006,0.815341,0.218694,0.405996,0.200024,0.233537,0.303774
0.566462,0.911221,0.8,0.274989,0.389814,0.270047,0.458663,0.378579,0.136782,0.450098
0.693637,0.878512,0.713329,0.324998,0.723012,0.292503,0.988214,0.392852,0.126444,0.496677
0.08672,0.785046,0.380007,1,0.295454,0.630591,0.346325,0.514287,0.04389,0
0.271687,0.668221,0.013329,0.695005,0.791948,1,0.584467,0.621421,0,0.166291
0.33526,0.719628,0.913329,0,0,0,0,0.114299,0.963873,1
0.705195,0.822418,0.939987,0.249984,0.560935,0.02494,0.227182,0.007166,0.987125,0.962292
0.387273,0.747675,0.833322,0.700006,0.71275,0.231241,0.41781,0,1,0.658518
0.91328,0.794396,0.753316,0.274989,0.492405,0.047917,0.470449,0.307157,0.894195,0.864742
1,0.65421,0.7,0.324998,0.620421,0.070863,1,0.314293,0.903245,0.858096
0.404611,0.537384,0.35998,1,0.644221,0.409718,0.357997,0.828581,0.710986,0.410194
0.549124,0,0,0.695005,0.689356,0.79511,0.59614,1,0.606468,0.592002
0.317922,0.588791,0.453316,0.649997,1,0.511105,0.560867,0.47144,0.722574,0.700647
