@relation qsbr_rw12

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute oz51 numeric

@data
0.060607,0.134095,0,0.119472,0.020498,0.101105,0.104823,0.178854,0,0,0.079796,0.754949,0.948473,1,0.001847,0,0.848649,0.30176,1,1,1,1,0,0.707473,0.761056,1,0.833321,1,0.922764,0.847825,0.894756,0.692316,0.643656,0.37907,0.121857,0.147371,0.322789,0.100551,0.226425,0.223019,0.464635,0.266858,0.262569,0.106741,0.722619,0.012249,0.983464,0.336687,0.94647,0.230711,0.866582
0.375757,0.42273,0.334347,0.414096,0.331796,0.205615,0.309444,0.09696,0.94627,0.733334,0.386736,0.503327,0.63231,0.96377,0.467645,0.516146,0.704791,0.22055,0.842458,0.819732,0.814768,0.805763,0.157542,1,0.663713,0.965891,0.650787,0.857154,0.907349,0.847825,1,0.589749,0.084625,0.144428,0.137079,0.136839,0.430383,0.125709,0.226425,0.158269,0.404032,0.804826,0.553518,0.276835,0.683134,0.047782,0.923026,0.879406,0.730116,0.353589,0.790487
0.375757,0.42273,0.387731,0.417638,0.071988,0.472631,0.481984,0.549371,0.430117,0.800003,0.386736,0.503243,0.63231,0.747103,0.637365,0.658551,0.542009,0.173236,0.883165,0.842828,0.739523,0.792292,0.116835,0.707473,1,0.886345,0.777774,0.857154,0.884166,0.847825,0.977438,1,0.510027,0.234665,0.172599,0.215798,0.398737,0.122913,0.150955,0.13428,0.277771,0.480126,0,0,0.76803,0,1,0.417091,1,0,0.581592
0.68485,0.711359,0.675604,0.703696,0.265942,0.712231,0.778625,0.322279,0.032266,0.199987,0.693052,0.251579,0.316157,0.421017,0.959718,1,0.228326,0.067743,0.836931,0.728625,0.517683,0.642469,0.163069,0.809503,0.964615,0.840902,0.722215,0.750007,0.864847,0.913044,0.969917,0.897456,0.452122,0.166085,0.218282,0.273689,0.468359,0.150827,0.094365,0.079135,0.025256,0.240599,0.147288,0.07901,0.673263,0.065749,0.910542,1,0.874446,0.195862,0.485043
0.68485,0.711359,0.693484,0.714877,0.092568,1,1,1,0.419364,1,0.693052,0.251544,0.316157,0.666668,0,0.000127,0.334793,0.046187,0.744687,0.693565,0.526905,0.601101,0.255313,0.666658,0.964615,0.909084,1,0.910744,1,1,0.868421,0.948747,0.534525,0.259937,0,0,0,0,0.037759,0.170259,0.333326,0.466997,0.04298,0.159825,0.207318,0.263034,0.868098,0.854281,0.967747,0.00096,0.132454
1,1,0.982117,1,1,0.537386,0.852821,0,1,0.466669,1,0,0,0,0.710016,0.781517,0.379227,0,0.525665,0.565303,0.420057,0.47236,0.474335,0.816322,0.991144,0.659086,0.595236,0.446428,0.810807,0.76087,0.887236,0.705137,0,0,0.345183,0.41579,0.651902,0.220662,0,0,0,1,0.005476,0.146554,0.727555,0.100823,0.958991,0.569521,0.999664,0.868649,0.187396
0,0,0.062305,0,0,0,0,0.118208,0.086031,0.016666,0,1,1,0.991305,0.503054,0.181685,1,1,0.182313,0.267031,0.592261,0.612034,0.817687,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.170337,0.598808,0.659831,0.324792,0.596663,0.279124,0.494144,0.057622,0.838991,1
0.315153,0.288641,0.384158,0.301538,0.108023,0.289011,0.315996,0.341757,0.602164,0.833334,0.306331,0.748292,0.683855,0.965944,0.540906,0.579529,0.691592,0.868292,0.138951,0.20611,0.375449,0.374931,0.861049,0.258491,0.07081,0.0909,0.023821,0.196421,0.146704,0.282589,0.015037,0.076917,0.895327,0.859206,0.939072,0.978936,0.556967,0.868697,0.792455,0.980813,0.959577,0,0.7699,0.656213,0.285303,0.98157,0.030674,0.455617,0.250477,0.662438,0.908106
0.315153,0.288641,0.334858,0.298743,0.008991,0.3525,0.34466,0.522367,0.225813,0.566669,0.306331,0.748292,0.683855,0.724639,0.898051,0.702596,0.443461,0.867918,0.306866,0.228588,0.325414,0.410788,0.693134,0.095217,0.345127,0.0909,0.063506,0.732152,0.050177,0.434778,0.037594,0.089738,0.835194,0.808666,0.913693,0.947352,0.664562,0.882666,0.735852,0.968823,0.939365,0.391767,0.417195,0.702654,0.264574,0.40201,0.30742,0.706875,0.050734,0.834753,0.862447
0.315153,0.288641,0.380326,0.301723,0.226464,0.145012,0.215732,0.130161,0.957002,0.833334,0.306331,0.748351,0.683855,0.892756,0.973738,0.719832,0.703472,0.899136,0.155765,0.171137,0.393209,0.429242,0.844235,0.367337,0,0.045438,0.015881,0,0.119677,0.32608,0.007521,0.051291,0.487754,0.772566,0.954294,0.984184,0.822784,0.89663,0.641515,0.985611,0.9697,0.683104,0.85453,1,0.060217,0.699249,0.166412,0,0,0.910083,0.910261
