@RELATION fri_c0_1000_10 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
@DATA  
5.4672087e-001,1.4477390e+000,-6.7840438e-001,-1.0744677e+000,5.9325224e-001,-1.3476799e+000,-9.7434551e-001,2.7705925e-001,-2.2533964e-001,-5.5610821e-002,2.3703857e-001
6.7391793e-002,1.4303317e+000,-6.2989536e-001,1.4716294e+000,1.6500490e+000,1.0884642e+000,8.7256298e-001,-1.6065376e+000,1.4786047e+000,-1.1286468e+000,2.0510987e+000
-1.7944627e-001,-1.4667501e+000,1.0856004e+000,1.1322969e+000,-5.5985838e-001,6.4083591e-001,1.5891257e+000,-7.2991201e-001,-1.7296692e-001,4.8980495e-001,7.6345617e-002
-1.3895669e+000,-8.6196357e-001,-2.0690922e-001,1.1474872e+000,3.2498923e-001,-1.5925904e+000,7.2812911e-001,-1.3320161e+000,-4.4341360e-001,-1.9443283e-001,-3.4823337e-001
1.9172850e-001,-4.1002945e-001,-1.6138171e+000,-3.7331599e-001,2.6707586e-001,-9.3075657e-001,-5.3496083e-002,5.2361804e-001,5.0839040e-001,-9.1501262e-001,6.1614576e-001
1.6919849e+000,4.9555096e-001,-1.5684754e+000,-8.7431139e-001,3.4700155e-001,-1.7671960e-001,-4.2176837e-001,-1.2657866e+000,-1.1143184e+000,-1.1046121e+000,9.5625135e-001
1.5579535e+000,5.3233058e-001,1.4139006e+000,-9.7557894e-001,-1.6880885e+000,-5.4638201e-001,1.4413566e+000,1.6378529e+000,9.6998077e-001,6.0546239e-001,-2.1312375e-001
1.1416379e+000,1.0428630e-002,1.5559098e+000,4.5113922e-001,1.5793156e+000,3.6665632e-001,-3.9987785e-001,1.4480904e+000,-3.6313498e-001,1.3024506e+000,1.9973593e+000
-1.7607585e+000,-5.6296149e-001,-3.2735188e-001,-3.0224919e-001,-1.5856393e+000,1.5074524e+000,2.8867562e-001,-9.7824189e-003,-1.4625895e+000,-1.2852690e+000,-2.1685302e+000
1.2141644e+000,2.8461967e-001,-1.7084737e+000,8.5763077e-001,1.7894322e-002,-2.3013462e-001,-8.7576836e-001,-9.8801285e-001,1.8293543e-001,-1.6855492e+000,1.9495006e+000
-8.3506672e-001,-7.1211673e-001,1.0465922e+000,1.0019161e+000,3.9462858e-001,9.8389422e-001,-1.3479322e+000,1.1877487e+000,-1.1995883e+000,9.4453811e-001,3.9445128e-001
-1.3695663e+000,3.4540687e-001,6.1445456e-002,6.6786156e-001,-2.3227764e-001,-1.0761562e+000,-1.1331288e+000,1.0553305e+000,-1.2377362e+000,-3.6038780e-001,-7.8447275e-001
3.8193664e-001,1.5904980e+000,-3.4418310e-001,1.2676598e+000,1.5881149e+000,6.6507541e-001,-1.8504097e-001,1.6569884e-001,-1.3145363e+000,-1.9445413e-001,1.8318830e+000
2.2248324e-001,-8.2081087e-001,-2.4361180e-001,1.0585210e+000,-1.5888731e+000,-3.3137275e-001,1.7318992e-001,1.4201344e+000,-6.7093242e-001,7.1029782e-001,-4.6487252e-001
-1.1974447e+000,-4.0172862e-001,6.3422472e-002,-1.0867668e+000,1.2935517e+000,7.7562470e-001,-5.8923220e-001,-5.6622444e-001,-4.2090980e-001,-7.1461590e-001,-1.3787316e+000
5.2881951e-001,-1.1718414e+000,-6.6223563e-001,-1.6108023e-001,-1.0850995e+000,5.5799437e-001,7.5323084e-001,-7.0965730e-001,3.7191471e-001,-6.3593278e-001,-1.2958739e+000
-1.6996375e+000,7.8034182e-001,1.2124624e+000,1.5278098e+000,-5.1913337e-001,-1.6176924e+000,8.6322098e-001,-8.5358426e-001,-1.1140557e+000,-1.1477592e+000,-8.6636341e-002
-4.9856295e-001,3.5618653e-001,-6.2424936e-001,1.4746650e+000,-3.4441276e-002,1.2934509e+000,-7.3397459e-001,-8.7338600e-002,-9.1863124e-001,8.6945829e-001,1.0756639e+000
-8.2953156e-001,1.1782775e+000,1.1235962e+000,1.5685014e+000,-9.0208553e-001,-2.7806676e-001,2.2701257e-001,-8.0608192e-001,1.4685016e-001,1.5107895e+000,1.2655920e+000
-2.0661171e-001,6.3522783e-001,1.5030771e+000,-4.0641225e-001,1.2878616e+000,1.9221010e-001,1.6994396e+000,1.0157476e+000,-1.3345237e+000,-5.7946800e-002,1.3881886e+000
-1.5237976e+000,6.4609003e-001,4.9860249e-001,-1.7368305e+000,-1.6255405e+000,-1.7864055e-001,1.7390833e+000,-3.8540478e-001,-9.5121873e-001,-1.4828445e+000,-2.2739471e+000
