@RELATION fri_c0_250_50 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
 @ATTRIBUTE oz27 REAL 
 @ATTRIBUTE oz28 REAL 
 @ATTRIBUTE oz29 REAL 
 @ATTRIBUTE oz30 REAL 
 @ATTRIBUTE oz31 REAL 
 @ATTRIBUTE oz32 REAL 
 @ATTRIBUTE oz33 REAL 
 @ATTRIBUTE oz34 REAL 
 @ATTRIBUTE oz35 REAL 
 @ATTRIBUTE oz36 REAL 
 @ATTRIBUTE oz37 REAL 
 @ATTRIBUTE oz38 REAL 
 @ATTRIBUTE oz39 REAL 
 @ATTRIBUTE oz40 REAL 
 @ATTRIBUTE oz41 REAL 
 @ATTRIBUTE oz42 REAL 
 @ATTRIBUTE oz43 REAL 
 @ATTRIBUTE oz44 REAL 
 @ATTRIBUTE oz45 REAL 
 @ATTRIBUTE oz46 REAL 
 @ATTRIBUTE oz47 REAL 
 @ATTRIBUTE oz48 REAL 
 @ATTRIBUTE oz49 REAL 
 @ATTRIBUTE oz50 REAL 
 @ATTRIBUTE oz51 REAL 
@DATA  
-4.8504186e-001,2.2574184e-001,-5.5887415e-001,-3.1637623e-001,1.2674833e+000,1.6548566e+000,7.6403216e-001,1.0272532e+000,5.1267295e-001,1.1273267e-001,4.3186151e-001,6.2900606e-001,8.2842255e-002,9.0611872e-001,-1.0867154e+000,-1.6525593e+000,-1.1980439e+000,9.1671891e-001,1.1801628e+000,5.8558298e-001,-1.1703366e+000,7.1510470e-001,4.3779344e-001,-4.6035031e-001,-1.3656030e+000,5.0603095e-001,-1.4436271e-001,1.5373720e+000,-7.8935718e-001,-3.3986411e-001,-1.4714090e+000,-1.5737592e+000,1.1214204e+000,-5.1173942e-002,2.6305645e-001,-1.5258001e+000,-1.1886327e+000,1.2270703e+000,-9.1946783e-001,-9.7668641e-001,-1.2778355e+000,3.4100029e-001,1.0106842e+000,1.5391531e+000,-3.2262096e-001,-1.1681211e+000,-1.1074188e+000,7.4821804e-001,-4.7791178e-001,-9.6599215e-001,1.4058320e-001
-1.3642674e+000,-4.4616577e-001,8.3911429e-001,1.6462997e+000,6.1198950e-001,-5.0359783e-001,1.0322272e+000,1.7860871e-001,-6.7977257e-001,1.0758126e-001,1.7780818e+000,-1.4054449e+000,3.5840549e-001,1.1668240e+000,-1.6921175e+000,-1.6402707e+000,-2.5899120e-001,1.0464472e+000,1.1194085e+000,4.6378681e-001,2.8146078e-002,-1.7326705e+000,-1.5765830e+000,1.4479517e+000,9.1319692e-001,1.7983321e-001,-1.0277949e+000,-6.3852954e-002,9.3405020e-001,-1.5318933e+000,-1.7370319e+000,-1.6213842e+000,1.1539681e+000,1.3532305e+000,-7.1220989e-001,-3.2424000e-001,2.1106332e-001,-3.5685392e-002,1.2430150e+000,1.4499569e+000,-1.0768753e+000,-1.6112165e+000,-2.8143593e-001,9.7499199e-001,1.6665974e+000,5.3818761e-001,-3.7884876e-001,1.6684045e-001,-1.1550171e+000,1.0634130e+000,1.8109802e-001
6.6967773e-001,4.4520550e-001,8.9719118e-001,-1.0271961e+000,-1.2076741e+000,-3.5518965e-001,-6.8415731e-001,-1.0664713e+000,7.6337862e-001,-4.2335431e-001,-1.2390836e+000,6.9534783e-001,1.0334106e-001,4.1093552e-002,-1.1887827e+000,-1.2394260e+000,1.1737149e+000,1.1679672e-002,-1.2060593e-001,5.6478294e-002,9.5252785e-001,-1.6393087e+000,7.6330225e-001,3.0616291e-001,-9.7191355e-001,-1.0767874e+000,1.6605462e+000,1.8619150e-001,-1.0829012e+000,4.9886056e-001,-4.3788632e-001,7.1762931e-001,-4.1957637e-002,9.2434541e-001,-1.1922186e+000,1.1347655e+000,-1.8257471e-001,-8.7093421e-001,8.2225019e-001,-1.5104259e+000,1.4766579e+000,-4.8208693e-001,1.5758881e+000,-3.1252016e-001,-2.1342421e-001,7.7054913e-001,-4.3731151e-001,2.5281558e-001,-3.2236274e-001,1.3435660e+000,1.2646621e-001
9.1066525e-001,-1.2487134e+000,8.8507606e-001,-5.8766281e-001,-5.3565513e-001,6.5695203e-001,-1.5111183e+000,1.7591593e+000,7.3000585e-001,1.1058821e+000,-2.5317250e-001,-3.4270713e-001,-7.6321078e-001,7.1589566e-001,6.0715419e-001,1.7675859e+000,-2.3816656e-001,-1.0354625e+000,-1.0939473e+000,-1.4347484e+000,1.8376083e+000,-1.6281911e+000,1.6304678e+000,1.1832264e+000,-9.2672950e-001,-4.4556635e-001,-3.0851143e-002,1.1954788e+000,4.0035327e-001,-7.3405786e-001,1.5752187e+000,1.3452243e+000,-1.3579090e+000,4.4201630e-001,-3.9977063e-001,1.2203004e+000,7.2581577e-001,-4.2958714e-001,-2.2991339e-001,8.5902141e-002,-1.2757835e+000,1.0270511e+000,1.6626926e+000,1.6699542e+000,-1.4061324e+000,-1.6720321e-001,-1.0044161e+000,-1.5579750e+000,-1.7634500e-001,6.7312519e-001,-9.1795844e-001
-1.2879511e+000,-9.6536652e-001,-2.9555234e-001,1.0545576e-001,1.6385553e-001,8.7504687e-001,-1.0342511e+000,1.7696448e+000,1.2949143e+000,-9.0330681e-001,4.0713704e-001,-1.6916729e+000,1.3456461e+000,-9.4956601e-001,-1.1564611e+000,-4.6021874e-002,-1.3319386e+000,5.9162473e-002,1.2575153e+000,6.4317372e-001,-8.5235917e-001,-5.9183555e-002,9.1062117e-001,-1.3761620e+000,-9.3680044e-001,-1.3119412e+000,-1.1907031e+000,-1.8407037e-004,1.4578723e+000,1.3731794e+000,-7.5548562e-001,1.7276516e+000,-3.5727335e-001,-1.6748159e+000,6.9982256e-001,-9.0767135e-001,9.3666793e-001,1.0656362e-001,-3.0735189e-001,-1.1573638e+000,-1.7790982e+000,7.3208418e-002,-1.5665874e-002,3.4237313e-001,9.6399117e-001,1.1676320e+000,-4.8470663e-001,-9.4972832e-001,1.2245217e+000,-8.9598740e-001,-1.1257060e+000
3.1595513e-002,-1.1594772e+000,1.1832561e+000,-8.2337979e-001,-5.9973659e-001,1.3746859e+000,-4.0059247e-001,-1.3592366e+000,-1.2237152e+000,9.8809196e-001,1.0919711e+000,-7.9777970e-001,9.5238062e-001,1.3907084e+000,-6.9541112e-002,-1.2502694e+000,6.1842190e-001,1.3691042e+000,1.6452273e+000,-1.2485353e+000,-4.6452908e-001,-8.0684374e-001,1.3682741e+000,1.7209624e-001,9.0954855e-001,1.6027599e+000,-2.7362761e-001,9.6619905e-001,1.0222292e+000,-7.8620288e-002,-1.7769129e-001,1.7800352e+000,7.6711962e-001,-8.3456915e-001,2.9843033e-001,-1.8326131e-001,-1.2738404e+000,4.4134961e-001,-1.2141973e+000,9.5771267e-001,1.6205043e+000,-3.7262392e-001,-1.6728029e+000,3.9499368e-001,-1.2480427e+000,-7.3635947e-001,1.2007168e+000,-8.8500407e-001,-1.1436581e+000,-1.4036046e-002,-8.4336564e-001
-2.0674702e-001,-9.9491905e-001,-1.3763637e+000,1.0570140e+000,-1.0463619e+000,1.5130297e+000,5.3892194e-001,1.4188127e+000,3.6313305e-001,-9.6211964e-001,-5.2361451e-001,-1.0170338e+000,6.9758256e-001,7.1911504e-001,3.0940695e-001,1.4371806e+000,3.0656230e-001,-1.2372445e-001,6.6774339e-003,-9.7892574e-002,1.6420373e+000,7.6916611e-001,3.5239878e-001,-6.6808182e-001,-1.0067168e+000,6.4509093e-001,1.7796749e-001,1.1117978e+000,1.5902306e+000,5.0584640e-001,2.4252155e-001,-1.6092115e+000,5.8681827e-001,-7.1841767e-001,1.5258707e-001,-1.9732552e-001,-6.3352069e-001,5.5342203e-001,-1.5231307e+000,-1.4925166e+000,-3.1099653e-001,-9.3669274e-001,-8.2810868e-001,6.9847218e-002,1.9155256e-001,8.2528848e-001,-1.3024600e+000,8.9204381e-001,-3.6887437e-002,-4.6573469e-001,-6.6700823e-002
-9.0028418e-003,5.3949964e-001,-5.0274691e-002,6.7321388e-001,-1.5386634e+000,4.8975548e-002,-5.2297056e-001,1.6625118e+000,1.3252968e+000,7.0112376e-001,1.0383186e+000,-1.4872136e+000,-4.3436770e-001,6.9076863e-001,-1.9731718e-001,9.2081788e-001,8.8442196e-001,-1.2330918e+000,1.2467295e+000,-1.5483587e+000,1.6176906e+000,7.2162884e-001,-1.3778239e-001,1.1904455e-001,-4.7146114e-001,1.6229095e+000,-1.2215155e+000,5.1891550e-001,-9.9778477e-001,3.4405437e-001,-4.0930743e-001,-7.1175078e-001,3.9838951e-001,1.4721946e+000,9.7236531e-001,4.4077407e-001,1.2958843e+000,-8.3272758e-001,-1.0540972e+000,-1.5001222e+000,7.6026305e-001,-9.2189211e-001,1.2094382e+000,1.6459961e+000,1.2521417e-001,1.1091699e-001,8.5627585e-001,7.9761101e-002,-5.5671433e-001,1.1710402e+000,4.0058668e-001
4.1820699e-001,-1.3239676e+000,-2.0814966e-003,1.0381346e+000,6.0989564e-001,1.4100342e+000,1.6751682e+000,-1.3503870e+000,-3.1673164e-001,-9.2464266e-001,-2.5572457e-001,-1.6790321e+000,7.5551833e-001,1.4755802e+000,6.5463524e-001,2.2498253e-001,-7.3656866e-001,1.4681056e+000,-1.2614115e+000,-1.5455612e-001,-1.3418503e+000,2.1583285e-001,-8.8778150e-001,1.3950813e+000,-6.9258416e-002,-6.6242914e-001,9.4923952e-001,1.1756180e+000,-1.4366811e+000,1.0299934e+000,-3.4481959e-001,1.3426197e-001,-1.0836427e+000,-1.0478493e+000,9.0178378e-001,-1.1243717e+000,1.4617164e+000,-4.0880931e-001,1.0441960e+000,3.0400870e-001,1.5792246e+000,4.7512733e-001,-8.9098163e-001,1.5040720e+000,-2.9950111e-001,3.8157852e-001,9.3303073e-001,-1.3719756e+000,1.5281842e+000,1.3134232e+000,-5.3126951e-002
8.0603065e-001,-6.9810802e-002,1.4415348e+000,-1.6807142e+000,1.4898573e+000,4.8797951e-001,-8.2543382e-001,-2.8624914e-001,-1.4538372e+000,-3.7521817e-001,-1.0316906e+000,9.8761220e-001,7.4207357e-001,1.4412590e-001,1.5394720e+000,2.6752906e-001,8.1882659e-001,3.1402129e-001,-1.3688628e+000,9.6937259e-001,1.8596944e+000,-9.1995279e-002,1.0178574e+000,-1.5197425e+000,-6.7481281e-001,-1.5436862e+000,-1.0377104e+000,1.7678480e+000,7.5651635e-001,-1.5880330e+000,1.1795514e+000,-1.3702732e+000,-7.2652782e-001,-4.2925110e-001,1.6508730e+000,1.0267062e+000,1.4025259e+000,1.2903239e+000,-1.0311583e+000,1.1263967e+000,-9.6222078e-001,5.7788857e-001,-3.4702303e-001,4.9302948e-002,-2.3073948e-001,1.0734380e+000,1.3620070e+000,-1.2802957e+000,6.1197584e-001,-1.5644184e+000,3.1706448e-001
