@RELATION fri_c0_100_5 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
@DATA  
-1.8938045e-002,1.5178514e+000,-6.5645842e-001,-7.8382502e-001,7.5129123e-001,6.1331902e-001
1.1355921e+000,-4.1585342e-001,-9.1114558e-001,8.2971269e-001,8.5942140e-002,1.0229622e+000
7.7338210e-001,-8.5471325e-003,2.0163764e+000,-1.2778571e+000,4.5464836e-001,1.0169124e+000
3.8823533e-001,1.0044838e+000,2.7433516e-001,1.1723276e+000,1.4676679e+000,1.6829520e+000
1.4301711e+000,-3.5232054e-001,2.3758446e-002,-1.9607919e+000,-3.1580990e-001,-9.1286299e-001
-5.2208898e-002,-6.6450393e-001,1.5848782e+000,-4.6294509e-002,1.2179670e+000,3.5021892e-001
-1.2332006e+000,1.5409827e+000,5.4879957e-002,-1.0018229e+000,1.3222474e+000,-9.8782010e-001
7.7785760e-001,-1.6728843e+000,-5.1427410e-001,-5.9345342e-001,-1.3983996e+000,-1.9297588e+000
6.1224779e-001,1.1796814e+000,-1.5423954e+000,2.0290117e-001,-8.0690568e-001,1.3467466e+000
-2.5165274e-001,-4.9226171e-001,1.7824142e+000,-7.2988852e-001,1.3395079e+000,1.7363263e-001
-1.5449243e+000,-5.0361579e-001,-1.2838448e+000,1.3590416e+000,-1.0335267e+000,-1.6532069e-001
-2.5055635e-001,1.6465111e-001,-3.5488297e-001,-2.6131294e-001,5.5831280e-001,8.0094180e-002
-1.1650787e+000,7.1826144e-001,1.1582376e-001,1.2160228e+000,-1.5169662e+000,-7.2940476e-001
-1.5605717e+000,4.3567811e-001,8.1317934e-001,1.7374509e+000,-1.5044099e+000,-6.2176941e-001
1.5762328e+000,4.7578622e-001,1.4724432e-001,5.9610639e-001,1.1212308e+000,9.6394418e-001
-8.5393170e-001,-1.3389842e+000,5.6542072e-001,-1.7386433e+000,-1.4388568e+000,-2.4173814e+000
-2.0506500e-001,-2.4342318e-001,4.9482223e-001,-2.4279859e-001,1.3610878e+000,-3.5263726e-002
-1.1199772e+000,2.3588812e-001,7.8890322e-001,-1.8336152e+000,1.1573914e+000,-1.6211906e+000
-2.6515185e-001,1.6200430e+000,-1.4836465e+000,-7.4321364e-001,1.3846191e+000,1.5458785e+000
6.2614114e-001,-4.7459103e-001,-5.4192856e-001,4.7739870e-001,1.5129490e+000,1.0784277e+000
2.4697651e-001,1.8709784e-001,6.6049120e-001,5.0622721e-001,-5.0981451e-001,7.1375077e-001
1.7063408e+000,-7.9251573e-001,-6.5204230e-001,1.3769305e+000,-1.0667617e-001,9.7895327e-001
-7.8735885e-001,4.9830585e-001,-3.7518309e-001,8.8064668e-001,1.1915564e+000,3.3283425e-001
1.3477627e+000,8.4443521e-001,-6.6599054e-001,-1.2801339e+000,1.2310124e+000,4.1388613e-001
6.8945999e-001,2.3472856e-001,-7.8450876e-001,-5.3017809e-001,-8.2404143e-001,5.2059078e-001
4.8999400e-001,-4.1316352e-001,-9.8356105e-001,1.1841977e+000,4.9321219e-001,1.0846929e+000
-1.6658220e+000,3.8326404e-001,-5.0741057e-001,1.2277546e-001,-3.9206763e-001,-7.7386742e-001
1.2135544e+000,5.0453730e-001,-1.0498640e+000,4.3065163e-001,-8.5871850e-001,8.3423599e-001
3.5820337e-001,3.0128875e-001,4.7798348e-001,1.0000012e+000,-6.8264028e-001,6.2509631e-001
1.0716269e+000,-3.3026826e-001,-5.4348329e-001,-4.5500479e-003,1.7610131e-001,7.2726219e-001
6.8868919e-001,1.0981662e+000,-1.5012625e+000,-3.1403734e-001,-1.2312840e+000,1.1814629e+000
6.2036151e-001,-1.2314273e+000,6.4505333e-001,1.7287152e-001,-2.9514298e-001,-7.5081032e-001
-8.7131220e-001,-7.1724861e-001,-1.4441457e+000,-1.2164097e+000,1.0893150e+000,-3.8742049e-001
-2.9333041e-001,1.1428436e-001,-1.4239230e+000,3.8536763e-001,3.4003413e-001,1.0746022e+000
2.5388541e-001,-4.3854372e-001,2.9149191e-001,-9.4908873e-001,1.0350990e+000,-3.8730506e-001
1.3611339e+000,-1.6407027e+000,-9.3980346e-001,-1.9053162e-001,-7.7800478e-001,-1.1036645e+000
-5.3986937e-001,1.1145493e+000,-4.7436808e-001,1.1435366e+000,1.1042924e-001,3.7944343e-001
