@RELATION fri_c0_500_25 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
@DATA  
-1.0687542e+000,-4.7692260e-002,-4.6389613e-001,-8.3159316e-001,3.2689524e-001,-1.2609833e+000,6.2978198e-001,1.5158997e+000,8.7958806e-001,1.6647608e+000,1.6130075e+000,1.1426015e+000,-1.2243563e+000,-1.2302308e+000,-1.5321246e-001,9.9070711e-002,-1.3577232e+000,-1.4101276e+000,1.4183857e+000,6.5883389e-003,-2.8378196e-001,-9.1617650e-001,9.2338323e-002,1.8073066e-001,5.5738720e-001,-1.1475218e+000
-1.7221179e+000,1.0362912e+000,9.6963687e-001,-9.7927630e-001,7.9957229e-001,7.3415177e-002,-1.0801146e+000,-5.1126441e-002,1.0605139e+000,1.1821887e+000,-3.9861866e-001,-1.4857317e-001,-7.7618585e-001,-1.2604006e+000,-1.4026406e+000,7.7619228e-001,9.9887549e-001,-1.5222413e+000,-1.5152038e-001,1.2729213e+000,3.8176618e-001,1.1054338e-001,-6.4466748e-001,-1.9078785e-001,1.7565522e+000,-1.5423511e+000
1.6683573e+000,-7.0823631e-001,-4.5059671e-001,1.3639995e+000,7.1591168e-001,1.4519799e+000,-1.1188546e+000,-8.9704655e-001,2.6706906e-001,1.1342283e+000,-6.6186364e-002,-1.5652125e-001,-7.7526071e-001,8.3534262e-001,6.9965115e-001,1.3249691e+000,-8.0250588e-001,1.3540997e+000,-8.1179897e-001,4.3532495e-001,-1.1994907e+000,-2.8003019e-001,1.3835261e+000,7.9024078e-001,1.7752086e-001,9.8129042e-001
-1.3304581e+000,6.1078073e-001,9.8170150e-001,1.1492943e-001,7.3994424e-001,-1.3452464e+000,-4.0225651e-001,-3.4428880e-001,-1.0141969e-001,-1.5239615e+000,-7.7625430e-001,-5.7633200e-001,9.1172818e-001,7.6116962e-001,2.6080860e-001,1.2191858e+000,2.3862797e-001,7.2619076e-001,2.6085047e-001,6.2298782e-001,-8.2851122e-001,6.6484174e-001,8.2379829e-001,3.6474281e-002,1.2478370e+000,-6.4598890e-002
1.1001413e+000,-1.9923374e-001,-8.4660150e-002,1.3401620e+000,-1.8583417e-001,1.5320569e+000,-1.5536536e-001,1.5590575e+000,-1.9997905e-001,1.6690010e+000,-9.0793582e-001,1.5566638e+000,1.1541656e+000,1.4369585e+000,-2.6380721e-001,-1.2453605e-001,6.2075410e-001,5.2739560e-001,-1.2997205e+000,-4.0815678e-001,5.8260207e-001,5.7280059e-001,1.0432510e+000,7.9730197e-001,1.0401781e+000,9.6085117e-001
1.2004205e+000,1.1542625e+000,4.2318442e-001,-1.8886634e-002,5.7674962e-001,1.1611882e+000,1.5883425e+000,9.8914660e-001,-1.4938638e+000,-1.3917485e+000,-4.2871187e-003,1.5458001e+000,1.4165837e-001,1.7735447e+000,-1.4114038e+000,1.3208763e+000,-4.7427121e-001,-7.5094405e-001,-1.0028246e+000,-1.4119670e+000,1.0431894e+000,1.3204377e+000,5.3095883e-001,5.2733221e-001,1.3968013e+000,5.5567630e-002
-1.5452263e+000,1.7161632e+000,-1.6042800e+000,-6.0571161e-001,-4.2099461e-001,1.6554955e+000,1.8167218e-001,5.2828209e-001,9.9158564e-001,2.7095888e-001,2.1700471e-001,1.5742235e+000,1.2785719e-001,-6.2392142e-001,-2.3450563e-001,-2.9292326e-001,-4.7974881e-001,1.3808747e+000,-8.9466362e-001,-6.6445134e-001,-1.7830027e+000,7.5734824e-002,1.2314668e+000,-9.3651385e-002,-2.8093890e-002,-6.0903090e-001
1.5166450e+000,1.4537164e+000,-3.4293132e-001,8.8818442e-002,1.3040585e+000,7.9919768e-001,-1.4433228e+000,-1.5353761e+000,-1.5577548e+000,-1.9514976e-001,-6.2842998e-001,9.8744400e-001,-3.6237841e-001,5.3485907e-002,5.0256102e-001,-6.5169279e-001,-7.0347830e-001,-1.5232539e+000,1.7285639e+000,-8.5316110e-001,2.2030950e-001,8.1715818e-001,1.6417736e+000,8.2989975e-001,1.2622616e+000,1.2546618e-001
7.4380143e-001,1.2101999e+000,-1.7284519e+000,1.4107800e+000,1.2786448e+000,1.6009236e+000,-1.7614846e+000,-1.2050885e+000,-7.8598359e-001,-4.3473539e-001,-8.0545430e-001,-1.5230276e+000,-1.4901157e+000,-6.2528220e-001,3.7843060e-001,-5.2964548e-001,7.5405659e-001,1.0932408e+000,-1.1900298e+000,2.8586598e-001,1.3571362e-001,1.6982908e+000,-2.2359853e-001,-7.7691656e-001,-1.1111922e+000,2.6820408e+000
-7.9795727e-001,-2.6788561e-001,-8.8995331e-001,1.2388383e+000,-1.6616640e+000,-6.9031775e-001,-6.0923655e-001,9.5700648e-001,-7.6301974e-001,-7.7975201e-001,-1.3921244e+000,-3.1659218e-001,-1.0568759e+000,-5.7769682e-001,-1.7461226e+000,1.3942519e+000,-5.9441648e-001,8.5417271e-001,8.4494786e-001,1.5197437e-001,1.5442683e-001,-1.0853751e+000,-1.2898786e+000,8.7961049e-001,-4.6069858e-001,1.4959699e-001
