@RELATION fri_c4_100_100 
 @ATTRIBUTE oz1 REAL 
 @ATTRIBUTE oz2 REAL 
 @ATTRIBUTE oz3 REAL 
 @ATTRIBUTE oz4 REAL 
 @ATTRIBUTE oz5 REAL 
 @ATTRIBUTE oz6 REAL 
 @ATTRIBUTE oz7 REAL 
 @ATTRIBUTE oz8 REAL 
 @ATTRIBUTE oz9 REAL 
 @ATTRIBUTE oz10 REAL 
 @ATTRIBUTE oz11 REAL 
 @ATTRIBUTE oz12 REAL 
 @ATTRIBUTE oz13 REAL 
 @ATTRIBUTE oz14 REAL 
 @ATTRIBUTE oz15 REAL 
 @ATTRIBUTE oz16 REAL 
 @ATTRIBUTE oz17 REAL 
 @ATTRIBUTE oz18 REAL 
 @ATTRIBUTE oz19 REAL 
 @ATTRIBUTE oz20 REAL 
 @ATTRIBUTE oz21 REAL 
 @ATTRIBUTE oz22 REAL 
 @ATTRIBUTE oz23 REAL 
 @ATTRIBUTE oz24 REAL 
 @ATTRIBUTE oz25 REAL 
 @ATTRIBUTE oz26 REAL 
 @ATTRIBUTE oz27 REAL 
 @ATTRIBUTE oz28 REAL 
 @ATTRIBUTE oz29 REAL 
 @ATTRIBUTE oz30 REAL 
 @ATTRIBUTE oz31 REAL 
 @ATTRIBUTE oz32 REAL 
 @ATTRIBUTE oz33 REAL 
 @ATTRIBUTE oz34 REAL 
 @ATTRIBUTE oz35 REAL 
 @ATTRIBUTE oz36 REAL 
 @ATTRIBUTE oz37 REAL 
 @ATTRIBUTE oz38 REAL 
 @ATTRIBUTE oz39 REAL 
 @ATTRIBUTE oz40 REAL 
 @ATTRIBUTE oz41 REAL 
 @ATTRIBUTE oz42 REAL 
 @ATTRIBUTE oz43 REAL 
 @ATTRIBUTE oz44 REAL 
 @ATTRIBUTE oz45 REAL 
 @ATTRIBUTE oz46 REAL 
 @ATTRIBUTE oz47 REAL 
 @ATTRIBUTE oz48 REAL 
 @ATTRIBUTE oz49 REAL 
 @ATTRIBUTE oz50 REAL 
 @ATTRIBUTE oz51 REAL 
 @ATTRIBUTE oz52 REAL 
 @ATTRIBUTE oz53 REAL 
 @ATTRIBUTE oz54 REAL 
 @ATTRIBUTE oz55 REAL 
 @ATTRIBUTE oz56 REAL 
 @ATTRIBUTE oz57 REAL 
 @ATTRIBUTE oz58 REAL 
 @ATTRIBUTE oz59 REAL 
 @ATTRIBUTE oz60 REAL 
 @ATTRIBUTE oz61 REAL 
 @ATTRIBUTE oz62 REAL 
 @ATTRIBUTE oz63 REAL 
 @ATTRIBUTE oz64 REAL 
 @ATTRIBUTE oz65 REAL 
 @ATTRIBUTE oz66 REAL 
 @ATTRIBUTE oz67 REAL 
 @ATTRIBUTE oz68 REAL 
 @ATTRIBUTE oz69 REAL 
 @ATTRIBUTE oz70 REAL 
 @ATTRIBUTE oz71 REAL 
 @ATTRIBUTE oz72 REAL 
 @ATTRIBUTE oz73 REAL 
 @ATTRIBUTE oz74 REAL 
 @ATTRIBUTE oz75 REAL 
 @ATTRIBUTE oz76 REAL 
 @ATTRIBUTE oz77 REAL 
 @ATTRIBUTE oz78 REAL 
 @ATTRIBUTE oz79 REAL 
 @ATTRIBUTE oz80 REAL 
 @ATTRIBUTE oz81 REAL 
 @ATTRIBUTE oz82 REAL 
 @ATTRIBUTE oz83 REAL 
 @ATTRIBUTE oz84 REAL 
 @ATTRIBUTE oz85 REAL 
 @ATTRIBUTE oz86 REAL 
 @ATTRIBUTE oz87 REAL 
 @ATTRIBUTE oz88 REAL 
 @ATTRIBUTE oz89 REAL 
 @ATTRIBUTE oz90 REAL 
 @ATTRIBUTE oz91 REAL 
 @ATTRIBUTE oz92 REAL 
 @ATTRIBUTE oz93 REAL 
 @ATTRIBUTE oz94 REAL 
 @ATTRIBUTE oz95 REAL 
 @ATTRIBUTE oz96 REAL 
 @ATTRIBUTE oz97 REAL 
 @ATTRIBUTE oz98 REAL 
 @ATTRIBUTE oz99 REAL 
 @ATTRIBUTE oz100 REAL 
 @ATTRIBUTE oz101 REAL 
@DATA  
3.1499151e-001,3.5069868e-001,-2.4141517e-001,-8.1652490e-001,-5.3344898e-001,9.0100570e-002,4.0150943e-001,-1.1829781e+000,8.9431959e-001,1.1206404e+000,-1.9905460e-001,1.2744605e+000,-6.7638872e-001,-3.3738958e-001,1.4062262e+000,-1.7844003e-001,1.2657968e+000,1.3405591e+000,1.5878490e+000,-5.4752100e-001,1.5816901e+000,3.3722360e-001,-5.8993712e-002,-1.0230214e+000,6.8748826e-001,-1.7377972e+000,-7.6572364e-002,-4.3688845e-001,1.2850616e+000,-4.2482410e-002,8.2910248e-001,-1.2890190e+000,-9.0016224e-002,3.4939708e-001,-6.7752717e-001,1.5819648e+000,7.1361041e-001,1.6504628e+000,8.0863817e-001,1.2422735e+000,-2.5153471e-001,1.2292306e+000,2.7332005e-001,4.1354509e-001,-5.7002110e-001,1.5245066e+000,-1.1168433e+000,9.2235547e-002,1.3355433e+000,1.1567793e+000,5.1026886e-001,1.2933642e+000,-1.5790069e+000,1.4896019e+000,3.1642229e-001,2.1886337e-001,1.3112683e+000,7.6372372e-001,-8.7927849e-001,6.5622757e-001,-2.8334185e-001,-1.4152832e+000,-1.2519024e+000,-3.9999941e-001,1.6206615e+000,-5.7696066e-001,-6.2227130e-001,2.8904286e-002,-9.9759437e-001,-1.3049116e+000,1.3499688e+000,-5.6020004e-001,-3.3236457e-001,-2.9531304e-001,8.6005934e-001,-2.8627321e-001,1.7497302e+000,9.8935038e-001,-1.3353007e+000,-1.0678845e+000,5.7613371e-001,1.1957509e+000,5.6639584e-001,-3.0225245e-001,-3.5928637e-001,-4.7686220e-001,1.7763921e+000,-4.6036174e-001,-1.1387196e+000,1.9213032e-001,-7.9656032e-001,-5.7246753e-001,1.7778906e+000,1.6348439e+000,1.5889839e-001,5.4283190e-001,4.5363280e-001,-7.2037089e-001,-1.0156432e+000,-1.5466223e+000,-2.9744716e-001
1.1780937e+000,1.5256699e+000,-1.0363911e-001,3.9758508e-002,8.1000483e-002,-5.4761584e-001,-1.5981888e+000,-7.2779031e-001,-1.4536543e+000,1.3549035e+000,-7.0882939e-001,1.6483393e+000,3.0960427e-001,-9.5037858e-002,1.3405974e-001,9.2250044e-002,1.4282939e+000,-1.2505766e+000,-5.1408990e-002,-1.3882078e+000,8.4297578e-001,-6.4895837e-001,1.3840090e+000,1.4936054e-001,6.0484611e-001,1.4528354e+000,-1.4940131e+000,9.8764580e-001,-1.0890265e+000,-2.3342435e-001,8.4517444e-001,6.4575691e-001,-1.4443185e+000,8.2639661e-001,-1.4739370e+000,-1.3866706e+000,-3.8810701e-001,-1.4164798e+000,-3.6175113e-001,1.3557924e-001,-2.4137031e-002,-3.1178161e-001,5.3103279e-001,-8.8654867e-001,6.2468041e-001,-5.5528607e-002,1.1831649e+000,1.1814354e+000,-1.3467412e+000,-7.1894142e-001,1.1848020e+000,-1.3265825e+000,-1.0776172e+000,1.2802751e+000,6.4579701e-001,-1.3821758e+000,-3.3989391e-001,3.3757835e-001,-1.6139571e+000,-5.5890690e-001,-3.3031759e-001,-5.6952448e-002,-1.2244520e+000,-6.9848854e-004,1.1322293e+000,-2.7092177e-001,9.8281947e-001,1.2580810e+000,1.3553903e-001,1.4902049e+000,5.7057944e-002,-1.5300113e+000,5.6269303e-001,-1.8143696e+000,-3.1934792e-001,1.2563077e+000,-4.7687178e-001,3.1253501e-001,-1.9425213e-001,-1.7082681e+000,-7.1113038e-001,5.1274359e-001,6.4219079e-001,-8.9988850e-001,-1.1751062e+000,2.9247738e-001,-1.2235241e+000,2.7810284e-001,-1.0852899e-001,1.0504232e+000,3.1638857e-001,-1.0669982e+000,1.7220070e-001,-5.6340260e-002,6.0344267e-001,1.5612330e+000,1.1291681e-001,-2.0205015e-001,-7.8157483e-001,-5.9561171e-002,-1.1329790e+000
4.7169828e-001,7.3376833e-001,1.7116320e-001,-6.0128638e-001,-2.5163163e-001,4.2885996e-001,5.4415796e-001,2.8146605e-001,-1.1032709e+000,1.0888298e+000,-1.2188697e+000,-1.2338524e+000,-4.7891684e-001,6.7748426e-001,1.6378212e+000,-4.5660753e-001,7.7289255e-001,-5.1191132e-001,1.4983024e+000,-2.1936723e-001,1.4012365e+000,-5.8509971e-001,-1.3820404e+000,4.0322251e-001,3.9056938e-001,-1.3251319e+000,-1.4941936e+000,1.2256849e+000,-1.3332336e+000,1.2506951e+000,4.7018318e-001,9.9186115e-001,-7.6670773e-001,1.6321626e+000,1.4440478e+000,-5.0804494e-001,-1.3197606e+000,-1.7696391e+000,-4.8302675e-001,-8.9666082e-001,-6.2915190e-001,-6.9325945e-001,-1.7058089e+000,5.1848272e-001,5.2527118e-001,3.6691685e-001,-1.8458693e-001,-1.1212776e+000,-2.7065326e-001,-9.4536325e-001,-3.5699437e-001,1.4137404e+000,2.4767248e-001,-2.1311625e-001,-1.5763652e+000,6.3361229e-001,-4.7403142e-001,-1.6937748e+000,-5.5584300e-001,1.2926977e+000,1.3194690e+000,-1.0142375e+000,2.2100762e-001,4.5637121e-002,-1.2016410e-001,7.3048464e-001,-3.7425414e-001,5.0321546e-002,-7.1066907e-001,1.4037012e+000,6.0637943e-001,-1.9566984e-001,1.9024559e+000,2.8089294e-001,-1.3922617e+000,-8.4860768e-001,-1.6779882e+000,1.4533882e+000,-1.0413097e+000,-3.9485905e-001,1.5156957e-001,8.6485580e-001,-1.5511975e+000,1.5570381e+000,1.3792883e+000,1.1580134e+000,-2.3691460e-002,-1.1291825e-002,1.7673689e-001,-2.0572005e-001,-6.5251090e-002,-1.7212567e+000,9.5921970e-001,-1.2426933e+000,-1.3401757e+000,-4.5651794e-001,5.5509003e-001,-1.1485414e+000,8.9960661e-001,3.0075282e-001,-1.1627496e+000
-1.8562197e+000,-1.4990476e+000,-1.2202258e+000,-1.3720824e+000,-7.8837960e-001,-2.0091670e-001,1.1139907e+000,-1.4726137e+000,2.0552725e-001,1.3964826e-001,1.9107312e+000,-1.6975318e-001,-3.4953941e-001,-6.8620641e-001,-4.4661061e-001,-4.5078777e-002,-6.6815826e-001,-3.8758170e-001,-1.0576017e+000,1.8657044e+000,-1.5407811e+000,-1.7341403e+000,1.3864958e+000,9.6639540e-001,-2.3957327e-001,7.6422618e-003,1.1413164e+000,-9.9412823e-001,-9.8385763e-001,9.3557770e-001,-7.8838983e-001,8.1183085e-001,-4.4718445e-001,-8.5903257e-001,1.8083376e+000,-3.3704451e-001,-9.6375932e-001,1.0869934e+000,4.0293398e-001,-1.3806532e+000,1.1292294e-001,-5.9305637e-001,-7.4305946e-001,1.0280874e+000,-9.7218684e-001,1.3474963e+000,1.6405628e-001,-1.4701779e+000,-1.1504709e-001,-9.1963724e-001,1.4951545e+000,-7.9717132e-001,-8.9553283e-001,-1.6298003e+000,1.2955433e+000,-3.6840489e-001,-3.7297858e-001,3.4602462e-001,6.8944953e-001,-3.0117423e-001,2.0571081e-001,1.0848689e+000,-3.6523998e-001,1.3337614e+000,-7.2956665e-001,-1.3242138e+000,1.5317922e+000,-1.0502196e+000,-3.0407061e-001,-6.0440506e-001,2.3288447e-001,-8.7172061e-002,1.3319287e+000,2.0262546e-001,2.9259640e-001,1.4761328e+000,6.7661957e-001,-1.0930595e+000,1.3988191e+000,-1.7580619e+000,1.7187155e+000,-1.4387785e+000,-5.6016978e-001,1.5832894e+000,-1.1546723e+000,-7.3337281e-001,1.8320145e-001,1.5104371e+000,-6.5493673e-001,-1.6316598e+000,7.0075523e-001,3.2432019e-001,-4.5064212e-001,1.2608794e+000,5.0698141e-001,-8.8520464e-001,1.4799331e+000,7.7287195e-001,3.5239294e-001,-5.6883246e-002,-6.1661542e-001
1.2136811e-001,3.3591964e-001,1.3978532e+000,8.0437056e-001,9.5361545e-001,8.4897662e-001,1.1993856e+000,6.0146873e-001,1.8710707e-001,2.3523988e-001,-7.0190060e-001,1.5631241e+000,6.2977658e-001,-1.6282788e+000,1.0147771e+000,-4.8097559e-001,1.1468022e+000,1.2286137e+000,8.9183551e-001,1.9108143e+000,1.1181841e+000,-6.3905684e-003,-6.1603716e-001,-1.0301356e+000,3.7945012e-001,9.7148946e-001,-2.4854798e-001,4.2117891e-001,-1.7437934e+000,8.9060101e-001,1.1102048e-002,-8.6543539e-001,9.4953605e-001,-8.5901252e-001,-3.4150410e-002,-1.5692923e+000,-2.8289383e-002,-6.5890051e-004,1.4333838e+000,7.0805104e-001,-2.6028978e-001,6.5296991e-001,-1.6487521e+000,1.3604733e+000,-4.7285329e-001,-1.2775523e+000,1.2395236e+000,-1.7102353e+000,8.8991220e-002,-1.0013777e+000,4.0534331e-001,-2.0703478e-001,1.3183674e+000,-9.9532019e-001,1.6220579e+000,7.0469777e-001,4.2258857e-001,1.1449886e+000,8.7019448e-001,2.1000264e-001,1.1865225e+000,-2.5735945e-001,5.0234139e-001,1.1306046e-001,8.7463751e-001,3.8188423e-001,7.0698890e-001,-8.8175805e-001,1.2658797e+000,3.7724112e-001,1.8280315e-001,6.7053084e-001,7.9583168e-001,-1.6948445e+000,9.5163006e-002,-7.7993624e-001,2.6040480e-002,-1.0699435e+000,-1.0122167e+000,-7.2923393e-002,-1.8138147e+000,1.2568892e+000,-7.9388377e-001,-3.7052113e-001,1.0068607e+000,-1.2863638e+000,-1.7656159e-001,1.5126031e+000,1.1531150e+000,2.9063300e-001,-9.4056944e-001,5.5578841e-001,-6.4663908e-001,-3.0403305e-001,-6.2789246e-001,1.1233948e+000,1.1243004e-001,1.1903989e+000,-1.1789349e-001,-7.6874368e-001,8.8253232e-001
-9.4832825e-001,-5.6707104e-001,-3.7695449e-001,-1.2269516e+000,-6.8985793e-001,-9.9770837e-001,1.0513201e+000,-1.6214495e+000,-4.9883825e-001,-1.0714225e+000,5.8665495e-001,3.3971165e-002,-1.6840732e+000,9.6595913e-001,1.0825063e-001,8.8658589e-001,-2.5593349e-001,-5.8214729e-001,-3.2768193e-001,-1.2001606e+000,7.4188986e-001,9.8181755e-001,-1.0646832e+000,-8.4923951e-002,1.0566891e+000,-1.2403568e+000,6.1098572e-001,2.3726538e-001,-4.1893894e-001,3.6674980e-002,1.2443013e+000,-2.6751162e-001,-7.8816332e-002,-2.0760565e-002,-1.6435145e-001,1.5617336e+000,-6.6722308e-001,-1.0311641e+000,4.8179837e-001,-3.7601262e-001,-1.5761550e-001,9.0619627e-001,-5.8880948e-001,3.1014469e-001,1.3077566e+000,-1.8524918e-001,1.4452594e-001,-8.8902154e-001,5.4592420e-001,1.2378868e+000,7.7159525e-001,-6.6116956e-001,1.0174721e+000,3.4932119e-001,-1.2333733e+000,-4.3725467e-001,-8.5708560e-001,2.4894705e-001,-1.7170102e+000,-2.0903559e+000,8.7025568e-001,1.4213004e+000,1.2500233e+000,6.4981609e-001,1.2900849e+000,-1.1843637e+000,-7.9664841e-001,-1.1630581e+000,-1.4936809e+000,-1.1763661e+000,-1.3840755e+000,-7.4168877e-001,5.6598609e-001,4.6657458e-001,-1.3862617e+000,-3.1250774e-001,-4.2833535e-001,1.0883738e+000,1.9890481e-001,-7.1676888e-001,-3.2316747e-001,1.5656329e-001,-2.5028962e-001,-1.0971369e+000,1.7790846e+000,-1.2105966e-001,-5.0208544e-001,-3.2591056e-001,-1.5971655e+000,1.8835671e-001,-7.5093798e-001,2.5793398e-001,6.1589756e-001,1.1299726e+000,-5.2176934e-001,-1.4823286e+000,3.9465770e-001,-9.9779616e-001,5.9576057e-001,-5.4718215e-001,-3.7172968e-001
-1.7040756e+000,-1.3517660e+000,-5.5104324e-001,7.4334612e-001,-6.2681427e-001,3.5021793e-001,-3.0505753e-001,1.3607795e+000,6.9917424e-001,-2.8452323e-001,4.4389136e-001,-7.7175033e-001,4.3823987e-001,-8.0767067e-001,-3.0879760e-001,-5.9635676e-001,1.4897249e+000,1.5597407e+000,-2.0138295e-001,3.8141679e-001,-3.7008092e-001,-1.3859140e-001,6.0103628e-001,-9.5836109e-001,1.0636178e+000,1.4574803e+000,-1.4743576e+000,-1.3271163e+000,6.2691458e-001,2.8200287e-001,1.3809944e+000,-1.3360801e+000,-8.1290026e-001,-8.2663662e-001,3.9425998e-001,7.4657898e-002,1.1295447e+000,-4.5694433e-001,1.0871883e+000,1.1818741e+000,1.1836092e+000,1.9613512e-001,6.8477099e-001,-3.4692216e-001,-4.9776355e-001,-1.4014769e+000,-1.3124880e+000,-7.6410418e-001,-1.3968135e+000,8.5547012e-001,1.5398715e+000,6.3558555e-001,-5.3865495e-001,-1.5551394e+000,-4.3920491e-001,1.6699992e+000,5.0016985e-001,-1.1686125e+000,-1.0320433e+000,-5.0780613e-001,7.3667319e-001,6.1158968e-001,1.2880873e+000,6.5114804e-001,1.1404562e+000,1.0496227e+000,1.5889641e+000,8.1266106e-001,1.8079299e+000,1.0667546e-002,-9.7241754e-001,-6.2992733e-001,1.0800720e+000,1.0672156e+000,-1.2630476e+000,-1.3661879e+000,-1.1757575e+000,-1.2502252e+000,8.1815301e-001,8.6943554e-001,5.1964685e-001,-4.3826505e-001,-6.5392919e-001,1.5176702e+000,-2.1235262e-001,-1.2611724e+000,-8.3272407e-001,-1.3778779e-001,6.7835578e-001,-5.4596870e-001,1.2394793e+000,2.0265863e-001,-1.3900323e+000,-8.1751116e-001,4.8316586e-001,-5.3233355e-001,-1.4696758e+000,-4.9153763e-001,-4.7123721e-001,-1.3185363e+000,-5.2181856e-003
-1.6807658e+000,-1.1621010e+000,-2.1948997e-001,9.9568398e-001,-2.9248801e-001,9.9694063e-001,1.5524961e+000,-7.9383781e-001,-1.5136008e+000,7.1828127e-001,5.7470584e-001,7.1932500e-001,-8.2633106e-001,1.0565725e+000,-1.6449109e+000,8.1794091e-001,-6.9149014e-001,7.5012261e-001,1.5138988e+000,-5.0928172e-001,5.3988533e-001,4.7726150e-001,6.7132735e-001,-1.3876494e-001,-7.2095076e-001,8.9765872e-001,1.1356516e+000,1.2184951e-001,4.5544502e-001,2.5317869e-001,2.1181320e-002,-1.0860039e+000,-5.3856251e-001,-1.2009192e+000,1.3434987e+000,-9.1474826e-001,-1.1223878e+000,1.3605513e+000,1.5870486e+000,9.9105167e-001,-1.6261787e-001,-1.0953408e+000,5.7736537e-001,-8.8225984e-001,-5.3642089e-001,1.1848615e+000,-3.2189692e-001,-3.6616009e-001,-8.1395457e-001,-1.1603860e+000,-1.0516712e+000,-2.5485313e-002,-1.4794209e-001,-1.1904302e-001,1.4159360e-001,-7.7859928e-001,1.6411717e-001,-7.4471883e-001,-4.0196928e-002,-5.1832131e-002,-9.1346777e-001,1.7057381e+000,1.9387020e-001,7.9398669e-001,-7.6863856e-001,8.3677787e-001,-1.0686168e+000,-2.6223771e-002,5.3603944e-001,-6.1190341e-001,-6.8275943e-001,-4.9595699e-003,9.8886491e-001,1.4691060e+000,-5.1461716e-001,-1.2738517e+000,5.7563092e-001,6.3734207e-001,-6.8714235e-001,-1.3093977e+000,1.3553630e-001,-7.2341466e-002,-4.4457705e-001,-5.1354899e-001,-1.1710183e+000,6.9201495e-001,1.7481105e+000,4.4587115e-001,1.6306132e+000,-2.2136231e-001,-3.2251249e-001,3.8153847e-001,-1.1800152e+000,-6.2534897e-001,8.9255444e-001,5.1628197e-001,-1.5693035e+000,8.0520398e-001,-7.3912643e-001,-6.2372766e-001,1.0232103e-001
8.5645558e-001,1.9914807e+000,7.5615643e-001,-9.6986481e-001,3.6135046e-001,-4.3782664e-001,-8.4720302e-001,-1.2960643e+000,7.0916832e-001,1.0885608e+000,1.4408639e+000,-3.8122634e-001,1.0340189e+000,1.4430213e+000,1.7563622e+000,8.6517351e-001,1.7800709e+000,-1.2756087e+000,8.6057967e-001,1.9305510e+000,-1.1276827e-001,-1.7848074e+000,-7.4172545e-001,2.4281920e-001,-1.1247916e+000,-1.3333764e+000,5.6564653e-001,-1.0322043e+000,5.8954462e-001,-1.6033767e+000,-9.1337691e-001,6.9895307e-001,-1.9363524e-002,1.3929168e+000,-7.9159626e-001,-3.9880898e-001,1.2198568e+000,8.3406699e-001,-3.2026601e-001,8.7939963e-001,1.2370744e+000,-9.2051293e-001,-1.5913262e+000,1.2563636e+000,7.1961746e-001,2.9433591e-001,9.3974935e-001,-6.4903598e-001,1.2448849e+000,-1.5253596e+000,1.9241252e-001,4.6439290e-001,5.4312778e-001,-1.4716661e+000,-5.3798890e-001,6.7041464e-002,-1.4631535e+000,5.4505178e-001,1.0623328e+000,-6.6587858e-001,-1.8220976e+000,-1.0646657e+000,1.1697126e+000,-9.0469420e-001,1.5329838e+000,1.8412814e+000,-1.5142567e+000,-2.6779062e-001,7.6220813e-001,-1.4131236e+000,1.0185367e+000,-6.4973373e-002,1.6015949e+000,-1.3113008e+000,1.5279266e+000,-9.6037184e-001,-8.3770085e-001,-7.4488903e-001,1.1795600e+000,-1.4842782e+000,7.4347617e-001,-1.5423625e+000,-5.6409101e-001,-1.8815303e+000,-1.6499314e+000,-1.4276868e+000,-2.2730099e-001,4.5739123e-001,1.1767142e+000,-1.1351276e+000,1.5714749e+000,6.0952177e-001,-8.9671806e-001,-9.6048883e-001,-1.6114895e+000,-2.4579148e-002,8.3833010e-001,-2.6022104e-001,8.8672163e-001,-1.3538843e+000,-1.4013240e+000
1.5195621e+000,1.1342467e+000,-5.6457723e-001,-7.5417539e-001,-2.8861933e-001,-3.4169108e-001,-7.4501092e-001,7.0825180e-001,-1.5488655e-001,1.0671792e+000,2.7875695e-001,-6.0206766e-001,-1.2008896e+000,-1.6393827e+000,9.0972555e-001,-3.8355560e-002,-1.1657045e+000,1.0060558e+000,1.1187128e+000,4.1503290e-001,1.0897824e+000,8.1585480e-001,2.7342848e-001,-1.1036117e+000,1.3499706e+000,7.8713669e-001,-5.7928364e-001,-1.4866164e+000,1.5513078e+000,-1.0312352e+000,-1.6491791e+000,1.1689569e+000,1.4433148e+000,-1.4505671e+000,-3.8306084e-001,1.3065737e-001,1.3832639e+000,-1.6558110e+000,1.2882388e+000,-1.1641141e+000,-1.6389749e+000,-7.5400869e-001,-1.0194823e+000,-1.0792208e+000,3.4603520e-001,-4.0862407e-001,9.1377276e-001,1.4007520e+000,1.7815128e+000,-1.0840861e+000,-6.2045722e-001,3.2268371e-001,-2.7504953e-001,-1.3486369e+000,-1.2239575e+000,1.4164526e+000,-7.6627656e-001,4.8411899e-001,9.8826799e-001,-6.0799994e-001,-5.3334203e-001,2.5549382e-001,-1.0067393e+000,-6.8243542e-001,-4.4869489e-002,9.6804073e-001,3.9723331e-001,-1.3543060e+000,-1.2680847e+000,8.8419541e-001,-1.2509781e+000,-5.4058713e-001,3.7545295e-001,-7.0562405e-001,7.5845759e-001,1.2639412e+000,6.9412645e-001,-1.6742038e+000,1.1854500e-001,-1.5361754e+000,-1.5430554e+000,5.8830895e-001,9.4388115e-001,-8.4948198e-001,-6.0872696e-001,7.7314540e-001,1.1298451e+000,-8.7206691e-001,6.2825489e-001,1.3905197e+000,-1.0347315e+000,1.3084096e+000,4.0726149e-001,1.4351197e-001,1.0552717e+000,-3.7796014e-001,-3.9172609e-001,-7.1296992e-001,-1.4371401e+000,8.0682080e-001,-1.7493632e+000
