@relation disclosure-X_TAMPERED

@attribute Age numeric
@attribute Civil numeric
@attribute Can/US numeric
@attribute Income numeric

@data
23.532389,29.42811,4.36037,44309.32
59.626422,23.836741,5.859656,79751.66
45.682512,8.227006,9.292625,68238.74
37.698205,14.36713,8.06957,107615.36
33.994757,17.807684,14.42789,54170.08
26.882009,13.043289,18.688364,101426.67
53.842859,9.138462,4.747932,76432.66
42.442568,19.264733,12.29712,57448.56
31.906834,11.764081,16.135605,60203.13
81.215532,12.416312,5.839766,79444.86
53.77399,20.887984,6.168898,96619.06
35.940005,1.732548,6.727001,89924.48
42.707532,12.874006,8.846593,89968.88
9.079582,20.946008,10.552738,102273.95
50.955519,28.922443,7.621261,30669.63
45.267637,18.176793,6.731224,113137.43
48.605993,30.570037,4.385733,77412.04
52.233819,25.814605,3.246501,35954.83
62.206974,12.674118,12.13834,64960
49.982072,11.363703,6.869758,80997.58
75.590107,26.513122,6.500797,115934.28
52.493193,19.091138,13.184026,84496.9
28.374695,26.790837,15.545151,80006.68
55.516388,20.922633,8.613632,38037.01
65.154747,22.582827,10.578372,84961.02
26.304376,14.686453,9.107645,162907.75
70.715498,18.334349,3.948309,88774.1
42.24049,18.140507,12.498873,82125.34
53.560822,21.242344,8.697504,78073.95
43.248115,16.268829,8.117798,75618.29
56.432621,20.599094,18.529186,41865.46
41.141973,27.840025,11.816953,88605.72
38.927568,28.103649,0.498865,115925.78
43.060564,15.859981,13.330741,93562.55
40.779694,25.559825,8.430193,62110.22
63.172696,18.308998,10.690004,48324.49
54.720039,24.107274,7.333687,87087.21
58.172396,21.49765,5.377434,79059.54
27.38778,16.61804,6.336821,73818.17
51.778954,17.730399,10.531135,80871.96
31.93691,14.526499,9.110852,49580.75
32.694012,29.266048,10.100635,57287.67
37.785012,16.313605,14.054034,22321.72
42.512147,16.776678,4.495178,80694.69
44.175977,18.845724,8.451563,101613.46
43.08511,19.112413,4.070279,129299.59
38.052534,26.016072,10.042079,96197.19
