n,number of iterations,a,c,x,f(x),w,f(w),u,f(u),b-a,k,method
1,2,0.000000,6.283185,3.141593,-6.662457,3.141593,-6.662457,1.199982,-2.729182,6.283185,1.000000,Golden section
2,3,1.199982,6.283185,3.141593,-6.662457,1.199982,-2.729182,1.941611,-5.766049,5.083204,1.236068,Golden section
3,4,1.941611,6.283185,3.141593,-6.662457,1.941611,-5.766049,2.758222,-7.266115,4.341574,1.170820,Parabolic
4,5,1.941611,3.141593,2.758222,-7.266115,3.141593,-6.662457,2.672980,-7.270952,1.199982,3.618034,Parabolic
5,6,1.941611,2.758222,2.672980,-7.270952,2.758222,-7.266115,2.706843,-7.274358,0.816611,1.469466,Parabolic
6,7,2.672980,2.758222,2.706843,-7.274358,2.672980,-7.270952,2.706336,-7.274358,0.085241,9.579969,Parabolic
7,8,2.672980,2.706843,2.706336,-7.274358,2.706843,-7.274358,2.706475,-7.274358,0.033863,2.517271,Parabolic
8,9,2.706336,2.706843,2.706475,-7.274358,2.706336,-7.274358,2.706476,-7.274358,0.000507,66.837642,Parabolic
9,10,2.706475,2.706843,2.706476,-7.274358,2.706475,-7.274358,2.706476,-7.274358,0.000368,1.376755,Parabolic
10,11,2.706475,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000001,576.607130,Parabolic
11,12,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,20.646237,Golden section
12,13,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.481904,Parabolic
13,14,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,2.327601,Golden section
14,15,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.228709,Golden section
15,16,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.164619,Golden section
16,17,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.113263,Golden section
17,18,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,5.456609,Golden section
18,19,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.170820,Golden section
19,20,2.706476,2.706476,2.706476,-7.274358,2.706476,-7.274358,2.706476,-7.274358,0.000000,1.118034,Golden section
