n,number of iterations,a,b,x1,x2,f(x1),f(x2),b-a,k
1,2,0.000000,6.283185,3.141593,3.141593,-6.662457,-6.662457,6.283185,1.000000
2,4,0.000000,3.141593,1.570796,1.570796,-4.310466,-4.310466,3.141593,2.000000
3,6,1.570796,3.141593,2.356194,2.356194,-6.923779,-6.923779,1.570796,2.000000
4,8,2.356194,3.141593,2.748894,2.748894,-7.268827,-7.268827,0.785398,2.000000
5,10,2.356194,2.748894,2.552544,2.552544,-7.203932,-7.203932,0.392699,2.000000
6,12,2.552544,2.748894,2.650719,2.650719,-7.264955,-7.264955,0.196350,2.000000
7,14,2.650719,2.748894,2.699806,2.699806,-7.274222,-7.274222,0.098175,2.000000
8,16,2.699806,2.748894,2.724350,2.724350,-7.273380,-7.273380,0.049087,2.000000
9,18,2.699806,2.724350,2.712078,2.712078,-7.274262,-7.274262,0.024544,2.000000
10,20,2.699806,2.712078,2.705942,2.705942,-7.274357,-7.274357,0.012272,2.000000
11,22,2.705942,2.712078,2.709010,2.709010,-7.274338,-7.274338,0.006136,2.000000
12,24,2.705942,2.709010,2.707476,2.707476,-7.274355,-7.274355,0.003068,2.000000
13,26,2.705942,2.707476,2.706709,2.706709,-7.274358,-7.274358,0.001534,2.000000
14,28,2.705942,2.706709,2.706326,2.706326,-7.274358,-7.274358,0.000767,2.000000
15,30,2.706326,2.706709,2.706517,2.706517,-7.274358,-7.274358,0.000383,2.000000
16,32,2.706326,2.706517,2.706421,2.706421,-7.274358,-7.274358,0.000192,1.999999
17,34,2.706421,2.706517,2.706469,2.706469,-7.274358,-7.274358,0.000096,1.999999
18,36,2.706469,2.706517,2.706493,2.706493,-7.274358,-7.274358,0.000048,1.999998
19,38,2.706469,2.706493,2.706481,2.706481,-7.274358,-7.274358,0.000024,1.999996
20,40,2.706469,2.706481,2.706475,2.706475,-7.274358,-7.274358,0.000012,1.999992
21,42,2.706469,2.706475,2.706472,2.706472,-7.274358,-7.274358,0.000006,1.999983
22,44,2.706472,2.706475,2.706474,2.706474,-7.274358,-7.274358,0.000003,1.999967
23,46,2.706474,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000001,1.999933
24,48,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000001,1.999867
25,50,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.999733
26,52,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.999466
27,54,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.998933
28,56,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.997868
29,58,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.995746
30,60,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.991528
31,62,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.983198
32,64,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.966951
33,66,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.936017
34,68,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.879730
35,70,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.785284
36,72,2.706475,2.706475,2.706475,2.706475,-7.274358,-7.274358,0.000000,1.646475
