n,number of iterations,a,b,x1,x2,f(x1),f(x2),b-a,k
1,2,0.000000,6.283185,2.399963,3.883222,-7.003410,-2.646092,6.283185,1.000000
2,3,0.000000,3.883222,1.483259,2.399963,-3.939001,-7.003410,3.883222,1.618034
3,4,1.483259,3.883222,2.399963,2.966518,-7.003410,-7.060042,2.399963,1.618034
4,5,2.399963,3.883222,2.966518,3.316668,-7.060042,-6.052653,1.483259,1.618034
5,6,2.399963,3.316668,2.750113,2.966518,-7.268504,-7.060042,0.916704,1.618034
6,7,2.399963,2.966518,2.616368,2.750113,-7.249945,-7.268504,0.566554,1.618034
7,8,2.616368,2.966518,2.750113,2.832772,-7.268504,-7.224705,0.350150,1.618034
8,9,2.616368,2.832772,2.699027,2.750113,-7.274189,-7.268504,0.216405,1.618034
9,10,2.616368,2.750113,2.667454,2.699027,-7.269739,-7.274189,0.133745,1.618034
10,11,2.667454,2.750113,2.699027,2.718540,-7.274189,-7.273913,0.082659,1.618034
11,12,2.667454,2.718540,2.686967,2.699027,-7.273200,-7.274189,0.051086,1.618034
12,13,2.686967,2.718540,2.699027,2.706480,-7.274189,-7.274358,0.031573,1.618034
13,14,2.699027,2.718540,2.706480,2.711087,-7.274358,-7.274293,0.019513,1.618034
14,15,2.699027,2.711087,2.703633,2.706480,-7.274333,-7.274358,0.012060,1.618034
15,16,2.703633,2.711087,2.706480,2.708240,-7.274358,-7.274348,0.007453,1.618034
16,17,2.703633,2.708240,2.705393,2.706480,-7.274354,-7.274358,0.004606,1.618034
17,18,2.705393,2.708240,2.706480,2.707152,-7.274358,-7.274357,0.002847,1.618034
18,19,2.705393,2.707152,2.706065,2.706480,-7.274357,-7.274358,0.001760,1.618034
19,20,2.706065,2.707152,2.706480,2.706737,-7.274358,-7.274358,0.001087,1.618034
20,21,2.706065,2.706737,2.706322,2.706480,-7.274358,-7.274358,0.000672,1.618034
21,22,2.706322,2.706737,2.706480,2.706578,-7.274358,-7.274358,0.000415,1.618034
22,23,2.706322,2.706578,2.706420,2.706480,-7.274358,-7.274358,0.000257,1.618034
23,24,2.706420,2.706578,2.706480,2.706518,-7.274358,-7.274358,0.000159,1.618034
24,25,2.706420,2.706518,2.706457,2.706480,-7.274358,-7.274358,0.000098,1.618034
25,26,2.706457,2.706518,2.706480,2.706495,-7.274358,-7.274358,0.000061,1.618034
26,27,2.706457,2.706495,2.706471,2.706480,-7.274358,-7.274358,0.000037,1.618034
27,28,2.706457,2.706480,2.706466,2.706471,-7.274358,-7.274358,0.000023,1.618034
28,29,2.706466,2.706480,2.706471,2.706475,-7.274358,-7.274358,0.000014,1.618034
29,30,2.706471,2.706480,2.706475,2.706477,-7.274358,-7.274358,0.000009,1.618034
30,31,2.706471,2.706477,2.706474,2.706475,-7.274358,-7.274358,0.000005,1.618034
31,32,2.706474,2.706477,2.706475,2.706476,-7.274358,-7.274358,0.000003,1.618034
32,33,2.706475,2.706477,2.706476,2.706476,-7.274358,-7.274358,0.000002,1.618034
33,34,2.706475,2.706476,2.706475,2.706476,-7.274358,-7.274358,0.000001,1.618034
34,35,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000001,1.618034
35,36,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
36,37,2.706475,2.706476,2.706475,2.706476,-7.274358,-7.274358,0.000000,1.618034
37,38,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
38,39,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
39,40,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
40,41,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
41,42,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
42,43,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
43,44,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
44,45,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
45,46,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
46,47,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
47,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
48,49,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
49,50,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618034
50,51,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618035
51,52,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.618035
