n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0787 -0.2362 ],0.2490,[-10.0000 30.0000 ],31.6228,0.0079,127,0.0001
2,8.3748,[0.0787 -0.2362 ],[0.1944 0.0419 ],0.1988,[-49.3701 -10.6299 ],50.5015,0.0039,127,0.0001
3,5.4437,[0.2731 -0.1944 ],[-0.0431 -0.1932 ],0.1979,[10.9350 49.0650 ],50.2688,0.0039,127,0.0001
4,2.6042,[0.2301 -0.3875 ],[0.1920 0.0442 ],0.1970,[-48.7648 -11.2352 ],50.0423,0.0039,127,0.0001
5,-0.1465,[0.4220 -0.3433 ],[-0.0454 -0.1908 ],0.1961,[11.5307 48.4693 ],49.8220,0.0039,127,0.0001
6,-2.8113,[0.3767 -0.5341 ],[0.1897 0.0465 ],0.1953,[-48.1784 -11.8216 ],49.6076,0.0039,127,0.0001
7,-5.3928,[0.5663 -0.4876 ],[-0.0477 -0.1886 ],0.1945,[12.1078 47.8922 ],49.3990,0.0039,127,0.0001
8,-7.8937,[0.5187 -0.6761 ],[0.1874 0.0488 ],0.1937,[-47.6104 -12.3896 ],49.1961,0.0039,127,0.0001
9,-10.3164,[0.7061 -0.6274 ],[-0.0499 -0.1864 ],0.1929,[12.6669 47.3331 ],48.9987,0.0039,127,0.0001
10,-12.6634,[0.6562 -0.8137 ],[0.1853 0.0509 ],0.1922,[-47.0601 -12.9399 ],48.8067,0.0039,127,0.0001
11,-14.9371,[0.8415 -0.7628 ],[-0.0520 -0.1842 ],0.1914,[13.2086 46.7914 ],48.6200,0.0039,127,0.0001
12,-17.1397,[0.7895 -0.9470 ],[0.1832 0.0530 ],0.1907,[-46.5270 -13.4730 ],48.4385,0.0039,127,0.0001
13,-19.2735,[0.9727 -0.8939 ],[-0.0541 -0.1822 ],0.1900,[13.7333 46.2667 ],48.2619,0.0039,127,0.0001
14,-21.3406,[0.9186 -1.0761 ],[0.1811 0.0551 ],0.1893,[-46.0106 -13.9894 ],48.0903,0.0039,127,0.0001
15,-23.3431,[1.0998 -1.0210 ],[-0.0561 -0.1802 ],0.1887,[14.2416 45.7584 ],47.9234,0.0039,127,0.0001
16,-25.2830,[1.0437 -1.2012 ],[0.1792 0.0570 ],0.1880,[-45.5103 -14.4897 ],47.7613,0.0039,127,0.0001
17,-27.1624,[1.2229 -1.1441 ],[-0.0580 -0.1782 ],0.1874,[14.7340 45.2660 ],47.6036,0.0039,127,0.0001
18,-28.9830,[1.1649 -1.3223 ],[0.1773 0.0590 ],0.1868,[-45.0256 -14.9744 ],47.4504,0.0039,127,0.0001
19,-30.7467,[1.3421 -1.2634 ],[-0.0599 -0.1763 ],0.1862,[15.2110 44.7890 ],47.3015,0.0039,127,0.0001
20,-32.4553,[1.2822 -1.4397 ],[0.1754 0.0608 ],0.1857,[-44.5561 -15.4439 ],47.1568,0.0039,127,0.0001
