n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0774 -0.2322 ],0.2448,[-10.0000 30.0000 ],31.6228,0.0077,127,0.0001
2,8.3989,[0.0774 -0.2322 ],[0.1357 0.0277 ],0.1385,[-48.7065 -9.9451 ],49.7115,0.0028,127,0.0001
3,4.9167,[0.2132 -0.2045 ],[0.0466 -0.2094 ],0.2146,[-6.9730 31.3563 ],32.1223,0.0067,127,0.0001
4,1.4589,[0.2597 -0.4140 ],[0.1291 0.0284 ],0.1322,[-47.8303 -10.5252 ],48.9747,0.0027,127,0.0001
5,-1.8541,[0.3888 -0.3856 ],[0.0571 -0.2188 ],0.2261,[-7.6326 29.2700 ],30.2488,0.0075,127,0.0001
6,-5.2953,[0.4459 -0.6044 ],[0.1257 0.0323 ],0.1298,[-48.1676 -12.3686 ],49.7303,0.0026,127,0.0001
7,-8.5709,[0.5716 -0.5721 ],[0.0608 -0.2135 ],0.2220,[-7.8500 27.5753 ],28.6709,0.0077,127,0.0001
8,-11.8979,[0.6323 -0.7856 ],[0.1203 0.0307 ],0.1241,[-46.0872 -11.7588 ],47.5636,0.0026,127,0.0001
9,-14.8996,[0.7526 -0.7549 ],[0.0585 -0.2044 ],0.2127,[-7.5606 26.4093 ],27.4703,0.0077,127,0.0001
10,-17.9683,[0.8112 -0.9593 ],[0.1151 0.0292 ],0.1187,[-44.0967 -11.1787 ],45.4916,0.0026,127,0.0001
11,-20.7189,[0.9262 -0.9302 ],[0.0564 -0.1958 ],0.2038,[-7.2817 25.2928 ],26.3201,0.0077,127,0.0001
12,-23.5491,[0.9826 -1.1260 ],[0.1101 0.0277 ],0.1136,[-42.1924 -10.6267 ],43.5100,0.0026,127,0.0001
13,-26.0698,[1.0927 -1.0982 ],[0.0543 -0.1875 ],0.1952,[-7.0128 24.2235 ],25.2181,0.0077,127,0.0001
14,-28.6801,[1.1470 -1.2857 ],[0.1054 0.0264 ],0.1086,[-40.3704 -10.1014 ],41.6150,0.0026,127,0.0001
15,-30.9900,[1.2524 -1.2594 ],[0.0523 -0.1796 ],0.1870,[-6.7535 23.1994 ],24.1624,0.0077,127,0.0001
16,-33.3973,[1.3047 -1.4390 ],[0.1008 0.0251 ],0.1039,[-38.6272 -9.6017 ],39.8027,0.0026,127,0.0001
17,-35.5141,[1.4055 -1.4139 ],[0.0503 -0.1720 ],0.1792,[-6.5037 22.2187 ],23.1510,0.0077,127,0.0001
